
CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

CLASS:YYY	HD:10	MAXLEVEL:5	TYPE:Prestige.PC	SOURCEPAGE:p.		BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")		BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2		BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	
CLASS:YYY	STARTSKILLPTS:	CSKILL:

															


#----DESERT WIND															
BLISTERING FLOURISH	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	SOURCEPAGE:p.52	SPELLKNOWN:CLASS|Swordsage=1|BLISTERING FLOURISH	PREVARGTEQ:SwordsageInitiatorManeuverLVL,1	ASPECT:Initiation Action|1 standard action	ASPECT:Range|30 ft.	ASPECT:Target Area|30-ft.-radius burst centered on you	ASPECT:Duration|1 minute	ASPECT:Save Info|Fortitude negates	DESC:Your weapon bursts into flames as you twirl it over your head. With a flourish, you cause the fire to explode with a blinding flash. When you use this strike, you generate a burst of brilliant light. Any creature other than you caught in this maneuver's area must make a Fortitude save (DC 11 + your Wis modifier) or be dazzled for 1 minute. This maneuver is a supernatural ability.				
FLAME'S BLESSING	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind.Stance	ASPECT:Descriptor|Fire	SOURCEPAGE:p.53	SPELLKNOWN:CLASS|Swordsage=1|FLAME'S BLESSING	PREVARGTEQ:SwordsageInitiatorManeuverLVL,1	ASPECT:Initiation Action|1 swift action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|Stance	DESC:Fire is not your enemy, and it does not harm you. You gain some resistance to fire as long as you remain in this stance. The amount of resistance is determined by your ranks in Tumble. If you have 19 or more ranks in Tumble, you gain immunity to fire while you are in this stance. This stance is a supernatural ability. Tumble Ranks Fire Resistance 4-8 5 9-13 10 14-18 20 19+ Immunity				
FLASHING SUN	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	SOURCEPAGE:p.54	SPELLKNOWN:CLASS|Swordsage=2|FLASHING SUN	PREVARGTEQ:SwordsageInitiatorManeuverLVL,2	PREABILITY:1,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 full-round action	ASPECT:Range|Personal	ASPECT:Target Area|You	DESC:Almost a blur of acceleration, your shining blade flashes as you attack with impossible speed. Flashing sun allows you to make an additional melee attack during this round. As part of this maneuver, you take a full attack action and make your normal melee attacks. However, you can make one additional attack this round at your highest attack bonus. All the attacks you make this round, including the extra attack granted by this maneuver, are made with a -2 penalty.					
HATCHLING'S FLAME	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.54	SPELLKNOWN:CLASS|Swordsage=2|HATCHLING'S FLAME	PREVARGTEQ:SwordsageInitiatorManeuverLVL,2	PREABILITY:1,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 standard action	ASPECT:Range|30 ft.	ASPECT:Target Area|Cone	ASPECT:Duration|Instantaneous	ASPECT:Save Info|Reflex half	DESC:You focus a burning aura of energy at the end of your blade. It forms a seething sphere that, after a moment, bursts into a torrent of energy. The Desert Wind discipline teaches its students how to unleash their ki as burning energy. This maneuver allows you to create a wave of fire that sweeps over your enemies. When you initiate this maneuver, you blast forth a cone of flame that deals 2d6 points of fire damage. This maneuver is a supernatural ability.		
HOLOCAUST CLOAK	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind.Stance	ASPECT:Descriptor|Fire	SOURCEPAGE:p.54	SPELLKNOWN:CLASS|Swordsage=3|HOLOCAUST CLOAK	PREVARGTEQ:SwordsageInitiatorManeuverLVL,3	PREABILITY:1,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 swift action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|Stance	DESC:Fire trails from your blade as you spin it about, cloaking you in flames that leap out to burn those who attack you. The flame from your weapon hangs in midair, providing you with a fiery defense against your attackers. An adjacent opponent that hits you with a melee attack while you are in this stance takes 5 points of fire damage. Your holocaust cloak does not harm a creature using a reach weapon to attack you. This stance is a supernatural ability.			
INFERNO BLADE	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Boost	ASPECT:Descriptor|Fire	SOURCEPAGE:p.54	SPELLKNOWN:CLASS|Swordsage=7|INFERNO BLADE	PREVARGTEQ:SwordsageInitiatorManeuverLVL,7	ASPECT:Initiation Action|1 swift action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|End of turn	DESC:A blinding light flashes from your weapon, and for a split second, it transforms into burning magma. You convert your ki into fiery energy, allowing it to flow down your arms and across your weapon. Until the end of your turn, your melee attacks deal an extra 3d6 points of fire damage + 1 point per initiator level. This maneuver is a supernatural ability.				
INFERNO BLAST	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.55	SPELLKNOWN:CLASS|Swordsage=9|INFERNO BLAST	PREVARGTEQ:SwordsageInitiatorManeuverLVL,9	PREABILITY:5,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 full-round action	ASPECT:Range|60 ft.	ASPECT:Target Area|60-ft.-radius burst centered on you	ASPECT:Duration|Instantaneous	ASPECT:Save Info|Reflex half	DESC:Hot winds swirl about you, and a faint aroma of brimstone sweeps over the area. A flickering yellow aura surrounds you and grows in intensity, shedding tremendous heat and light. Creatures around you stumble back from the heat. With a howling roar, you unleash a hellish blast of fire that melts steel and warps stone. Only true masters of the Desert Wind school are capable of unleashing an inferno blast. You focus your internal ki into a blinding hot burst of fire that deals 100 points of fire damage to all creatures in the area. You are not harmed by your own inferno blast. This maneuver is a supernatural ability.		
LEAPING FLAME	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Counter	ASPECT:Descriptor|Teleport	SOURCEPAGE:p.55	SPELLKNOWN:CLASS|Swordsage=5|LEAPING FLAME	PREVARGTEQ:SwordsageInitiatorManeuverLVL,5	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 immediate action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|Instantaneous	DESC:As your foe attacks you, you disappear in a burst of flame and smoke, only to reappear as if out of thin air next to him. You instantly appear in a square adjacent to a creature that attacks you with a melee or ranged attack, after resolving the enemy's attack. You cannot move into a space that is occupied by a creature or object. You can move up to 100 feet in this manner. If you cannot move adjacent to the target, this maneuver fails to function but is still considered used. This maneuver is a supernatural ability.			
LINGERING INFERNO	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.55	SPELLKNOWN:CLASS|Swordsage=5|LINGERING INFERNO	PREVARGTEQ:SwordsageInitiatorManeuverLVL,5	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 standard action	ASPECT:Range|Melee attack	ASPECT:Target Area|One creature	ASPECT:Duration|3 rounds; see text	DESC:A blue, dancing flame appears on your weapon. As you strike your foe, this flame slides off your weapon and covers your enemy in raging fire. You make a single melee attack that deals an extra 2d6 points of fire damage. In addition, if your strike hits, the flames upon your weapon bind to the target, which takes an extra 2d6 points of fire damage each round at the start of its turn for 3 rounds. This maneuver is a supernatural ability.			
RING OF FIRE	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.55	SPELLKNOWN:CLASS|Swordsage=6|RING OF FIRE	PREVARGTEQ:SwordsageInitiatorManeuverLVL,6	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 full-round action	ASPECT:Range|Special; see text	ASPECT:Target Area|Special; see text	ASPECT:Save Info|Reflex half	DESC:You move in a blur, your feet wreathed in flaming energy. As you run, you leave a trail of fire behind you. You encircle a foe, and the ring of fire you leave behind bursts into an inferno that engulfs your enemy and everything else in the area. As part of this maneuver, you can move up to two times your speed along the ground. All of your movement must be along continuous, solid ground. You leave a trail of flames in your wake. These flames have no effect unless they form a closed area. In this case, a raging inferno erupts within that area. All creatures within the area take 12d6 points of fire damage, with a Reflex save (DC 16 + your Wis modifier) for half damage. The inferno erupts the first time you form a closed area. You cannot create multiple areas in one move. This maneuver is a supernatural ability.			
RISING PHOENIX	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind.Stance	ASPECT:Descriptor|Fire	SOURCEPAGE:p.55	SPELLKNOWN:CLASS|Swordsage=8|RISING PHOENIX	PREVARGTEQ:SwordsageInitiatorManeuverLVL,8	PREABILITY:3,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 swift action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|Stance	DESC:Hot wind swirls about your feet, lifting you skyward as flames begin to flicker below. A column of superheated air lifts you into the air. While you are in this stance, you can hover up to 10 feet above any solid or liquid surface. You gain a fly speed equal to your land speed, with perfect maneuverability, but you must remain within 10 feet of the ground when you fly. If you hover in place and make a full attack, the column of air becomes superheated, dealing 3d6 points of fire damage to creatures adjacent to or within the column, including creatures adjacent to your square. You are not harmed by this effect. You can move across shallow pits or other such variations in terrain without losing altitude, so long as your movement wouldn't take you more than 10 feet above a solid or liquid surface. If you are ever more than 10 feet above the ground (such as if the floor drops out from under you or you move over the edge of a tall cliff), the rising phoenix stance immediately ends and you fall to the ground. This stance is a supernatural ability.			
SALAMANDER CHARGE	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Strike	ASPECT:Descriptor|Fire	SOURCEPAGE:p.55	SPELLKNOWN:CLASS|Swordsage=7|SALAMANDER CHARGE	PREVARGTEQ:SwordsageInitiatorManeuverLVL,7	PREABILITY:3,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 full-round action	ASPECT:Range|Special	ASPECT:Target Area|One 5-ft square per 5 ft. of movement	ASPECT:Duration|Instantaneous; 5 rounds; see text (D)	DESC:You spin and tumble about the battlefield, a wall of raging flame marking your steps. You initiate this maneuver as part of a charge attack. As with a charge, you can move up to double your speed and make a single attack, gaining a +2 bonus on the attack roll and a -2 penalty to your Armor Class while you move and until your next turn. Unlike a normal charge, however, your salamander charge does not need to be in a straight line and is not impeded by difficult terrain, or even other creatures. You can change direction as much as you want during your movement, and you can also use your Tumble skill to avoid attacks of opportunity or to move through opponents' squares during the charge. When you initiate a salamander charge, a wall of shimmering, spectral fire appears in each of the squares along the path you take. A creature standing in the wall takes 6d6 points of fire damage at the beginning of that creature's turn. A creature occupying a square adjacent to the wall takes 3d6 points of fire damage at the start of its turn. Creatures that move into or through the wall also take 6d6 points of fire damage. The wall lasts up to 5 rounds. You can automatically dispel the wall with a wave of your hand (a swift action), and the wall is automatically dispelled if you initiate another salamander charge. The wall does not block line of sight or line of effect. This maneuver is a supernatural ability.			
SEARING BLADE	CATEGORY:Maneuvers and Stances	TYPE:MartialManeuver.Swordsage Martial Maneuver.Desert Wind Maneuver.Maneuver.Boost	ASPECT:Descriptor|Fire	SOURCEPAGE:p.56	SPELLKNOWN:CLASS|Swordsage=4|SEARING BLADE	PREVARGTEQ:SwordsageInitiatorManeuverLVL,4	PREABILITY:2,CATEGORY=Maneuvers and Stances,TYPE.Desert Wind Maneuver	ASPECT:Initiation Action|1 standard action	ASPECT:Range|Personal	ASPECT:Target Area|You	ASPECT:Duration|End of turn	DESC:Your weapon transforms into a raging torrent of f lame, causing those around you to recoil slightly from the tremendous heat. You convert your ki into fiery energy, allowing it to flow down your arms and across your weapon. Until the end of your turn, your melee attacks deal an extra 2d6 points of fire damage + 1 point per initiator level. This maneuver is a supernatural ability.			
