# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)

#Warlock
#	Warlock Least Invocation
#	Warlock Lesser Invocation
#	Warlock Greater Invocation
#	Warlock Dark Invocation
#Warmage
#	Advanced Learning
#	Warmage Sudden Ability
#	Metamagic Feat
#Wu Jen
#	Elemental Mastery
#	Taboo
#
#
#
#

# Ability Category								Visible		Editable?		Change Pool?	Category of Object		Type of Object							Plural description for UI					Display Location
ABILITYCATEGORY:Bonus Spell Cast Selection				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BonusSpellCast															DISPLAYLOCATION:Feats
ABILITYCATEGORY:Bonus Spell Known Selection				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:BonusSpellKnown															DISPLAYLOCATION:Feats



ABILITYCATEGORY:Fatespinner Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Fatespinner Class Feature				PLURAL:Fatespinner Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Geometer Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Geometer Class Feature					PLURAL:Geometer Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Green Star Adept Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Green Star Adept Class Feature				PLURAL:Green Star Adept Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Initiate of the Sevenfold Veil Class Feature	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Initiate of the Sevenfold Veil Class Feature	PLURAL:Initiate of the Sevenfold Veil Class Features	DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Mage of the Arcane Order Class Feature		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Mage of the Arcane Order Class Feature		PLURAL:Mage of the Arcane Order Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Master Transmogrifist Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Master Transmogrifist Class Feature			PLURAL:Master Transmogrifist Class Features		DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Mindbender Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Mindbender Class Feature					PLURAL:Mindbender Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Seeker of the Song Class Feature			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Seeker of the Song Class Feature			PLURAL:Seeker of the Song Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Sublime Chord Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Sublime Chord Class Feature				PLURAL:Sublime Chord Class Features				DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Suel Arcanamach Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Suel Arcanamach Class Feature				PLURAL:Suel Arcanamach Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Wayfarer Guide Class Feature				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Wayfarer Guide Class Feature				PLURAL:Wayfarer Guide Class Features			DISPLAYLOCATION:Class Features
ABILITYCATEGORY:Wild Mage Class Feature					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Wild Mage Class Feature					PLURAL:Wild Mage Class Features				DISPLAYLOCATION:Class Features


ABILITYCATEGORY:Sublime Chord Spell Class Selection		POOL:POOL_Sublime_Chord_SpellClass	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:Sublime Chord Spell Class								DISPLAYLOCATION:Class Features

