# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)
SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEDATE:2003-12

### COMPLETE WARRIOR - Dec 2003
# Spell Name			Unique Key					Type		Classes of caster					Domains granting the spell	School			Sub-School			Descriptor				Components		Casting Time			Range				Item		Target Area or Effect						Duration								Save Info								Spell Resistance					Source Page			Description
Augment Familiar									TYPE:Arcane	CLASSES:Hexblade=1|Sorcerer,Wizard=2						SCHOOL:Transmutation										COMPS:V,S		CASTTIME:1 standard action	RANGE:Close			ITEM:Potion	TARGETAREA:Your familiar					DURATION:Concentration + (CASTERLEVEL) rounds		SAVEINFO:Fort negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.116		DESC:Your Familiar becomes more powerful.|!PRERULE:1,DisplayFullSpell
Cloak of Bravery									TYPE:Divine	CLASSES:Paladin=2|Cleric=3			DOMAINS:Courage=3			SCHOOL:Abjuration						DESCRIPTOR:Mind-Affecting	COMPS:V,S		CASTTIME:1 standard action	RANGE:60 ft.		ITEM:Potion	TARGETAREA:60-ft.-radius emanation centered on you	DURATION:(CASTERLEVEL*10) minutes				SAVEINFO:Will negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.117		DESC:You and your allies gain a bonus on saves against fear.|!PRERULE:1,DisplayFullSpell
Cloak of Bravery, Greater	KEY:Cloak of Bravery (Greater)	TYPE:Divine								DOMAINS:Courage=9			SCHOOL:Abjuration						DESCRIPTOR:Mind-Affecting	COMPS:V,S		CASTTIME:1 standard action	RANGE:1 mile; see text			TARGETAREA:1-mile-radius emanation centered on you	DURATION:(CASTERLEVEL) hours					SAVEINFO:Will negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.117		DESC:You and your allies gain a bonus on saves against fear.|!PRERULE:1,DisplayFullSpell
Cursed Blade									TYPE:Arcane	CLASSES:Assassin,Hexblade=4								SCHOOL:Necromancy											COMPS:V		CASTTIME:1 standard action	RANGE:Touch					TARGETAREA:One melee weapon					DURATION:(CASTERLEVEL) minutes				SAVEINFO:None							SPELLRES:No						SOURCEPAGE:p.117		DESC:Wounds dealt by weapon can't be healed.|!PRERULE:1,DisplayFullSpell
Hound of Doom									TYPE:Arcane	CLASSES:Hexblade=3									SCHOOL:Illusion		SUBSCHOOL:Shadow							COMPS:V,S		CASTTIME:1 round			RANGE:Close			ITEM:Potion	TARGETAREA:Shadowy hound					DURATION:(CASTERLEVEL) minutes (D) or until destroyed	SAVEINFO:None							SPELLRES:No						SOURCEPAGE:p.117-118	DESC:Creates shadowy protector.|!PRERULE:1,DisplayFullSpell
Lion's Roar										TYPE:Divine								DOMAINS:Courage=8			SCHOOL:Evocation						DESCRIPTOR:Sonic			COMPS:V,S,DF	CASTTIME:1 standard action	RANGE:120 ft.				TARGETAREA:120-ft.-radius burst centered on you		DURATION:Instantaneous or (CASTERLEVEL) minutes		SAVEINFO:Fort partial or Will negates (harmless)	SPELLRES:Yes or Yes (harmless); see text	SOURCEPAGE:p.118		DESC:Deals ((CASTERLEVEL+1)/2)d8 to enemies; allies get +1 on attack and saves against fear, plus temporary hp.|!PRERULE:1,DisplayFullSpell
Phantom Threat									TYPE:Arcane	CLASSES:Bard,Hexblade=1									SCHOOL:Illusion		SUBSCHOOL:Phantasm	DESCRIPTOR:Mind-Affecting	COMPS:V,S		CASTTIME:1 standard action	RANGE:Close			ITEM:Potion	TARGETAREA:One creature						DURATION:(CASTERLEVEL) rounds					SAVEINFO:Will negates						SPELLRES:Yes					SOURCEPAGE:p.118		DESC:Subject thinks it's flanked.|!PRERULE:1,DisplayFullSpell
Valiant Fury									TYPE:Divine								DOMAINS:Courage=5			SCHOOL:Transmutation										COMPS:V,S,DF	CASTTIME:1 standard action	RANGE:Close					TARGETAREA:One living creature				DURATION:(CASTERLEVEL) rounds					SAVEINFO:Will negates (harmless)				SPELLRES:Yes (harmless)				SOURCEPAGE:p.118		DESC:+4 Str, Con;+2 Will Saves; extra attacks; cures 1d8+(min(CASTERLEVEL,20)).|!PRERULE:1,DisplayFullSpell

###Block: Full Spell Descriptions
# Spell Name				Description
Unseen Servant.MOD			CLASSES:Hexblade=1

Alter Self.MOD				CLASSES:Hexblade=2
Blindness/Deafness.MOD			CLASSES:Hexblade=2
Bull's Strength.MOD			CLASSES:Hexblade=2
Darkness.MOD				CLASSES:Hexblade=2
Eagle's Splendor.MOD			CLASSES:Hexblade=2
Enthrall.MOD				CLASSES:Hexblade=2
False Life.MOD				CLASSES:Hexblade=2
Glitterdust.MOD				CLASSES:Hexblade=2
Invisibility.MOD				CLASSES:Hexblade=2
Mirror Image.MOD				CLASSES:Hexblade=2
Protection from Arrows.MOD		CLASSES:Hexblade=2
Pyrotechnics.MOD				CLASSES:Hexblade=2
Rage.MOD					CLASSES:Hexblade=2
Resist Energy.MOD				CLASSES:Hexblade=2
See Invisibility.MOD			CLASSES:Hexblade=2
Spider Climb.MOD				CLASSES:Hexblade=2
Suggestion.MOD				CLASSES:Hexblade=2
Summon Swarm.MOD				CLASSES:Hexblade=2
Touch of Idiocy.MOD			CLASSES:Hexblade=2

Arcane Sight.MOD				CLASSES:Hexblade=3
Charm Monster.MOD				CLASSES:Hexblade=3
Confusion.MOD				CLASSES:Hexblade=3
Deep Slumber.MOD				CLASSES:Hexblade=3
Dispel Magic.MOD				CLASSES:Hexblade=3
Hound of Doom.MOD				CLASSES:Hexblade=3
Invisibility Sphere.MOD			CLASSES:Hexblade=3
Magic Weapon (Greater).MOD		CLASSES:Hexblade=3
Nondetection.MOD				CLASSES:Hexblade=3
Phantom Steed.MOD				CLASSES:Hexblade=3
Poison.MOD					CLASSES:Hexblade=3
Protection from Energy.MOD		CLASSES:Hexblade=3
Repel Vermin.MOD				CLASSES:Hexblade=3
Slow.MOD					CLASSES:Hexblade=3
Stinking Cloud.MOD			CLASSES:Hexblade=3
Vampiric Touch.MOD			CLASSES:Hexblade=3
Wind Wall.MOD				CLASSES:Hexblade=3

Baleful Polymorph.MOD			CLASSES:Hexblade=4
Break Enchantment.MOD			CLASSES:Hexblade=4
Contact Other Plane.MOD			CLASSES:Hexblade=4
Cursed Blade.MOD				CLASSES:Hexblade=4
Detect Scrying.MOD			CLASSES:Hexblade=4
Dimension Door.MOD			CLASSES:Hexblade=4
Dominate Person.MOD			CLASSES:Hexblade=4
Enervation.MOD				CLASSES:Hexblade=4
Fear.MOD					CLASSES:Hexblade=4
Invisibility (Greater).MOD		CLASSES:Hexblade=4
Phantasmal Killer.MOD			CLASSES:Hexblade=4
Polymorph.MOD				CLASSES:Hexblade=4
Scrying.MOD					CLASSES:Hexblade=4
Sending.MOD					CLASSES:Hexblade=4
Solid Fog.MOD				CLASSES:Hexblade=4

# Hunter of the Dead
#1st Level:
Magic Stone.MOD				CLASSES:Hunter of the Dead=1
Magic Weapon.MOD				CLASSES:Hunter of the Dead=1
Cure Light Wounds.MOD			CLASSES:Hunter of the Dead=1
Hide from Undead.MOD			CLASSES:Hunter of the Dead=1
Remove Fear.MOD				CLASSES:Hunter of the Dead=1
#2nd Level:
Bull's Strength.MOD			CLASSES:Hunter of the Dead=2
Cure Moderate Wounds.MOD		CLASSES:Hunter of the Dead=2
Continual Flame.MOD			CLASSES:Hunter of the Dead=2
Darkvision.MOD				CLASSES:Hunter of the Dead=2
Restoration (Lesser).MOD		CLASSES:Hunter of the Dead=2
Remove Paralysis.MOD			CLASSES:Hunter of the Dead=2
#3rd Level:
Cure Serious Wounds.MOD			CLASSES:Hunter of the Dead=3
Daylight.MOD				CLASSES:Hunter of the Dead=3
Halt Undead.MOD				CLASSES:Hunter of the Dead=3
Protection from Energy.MOD		CLASSES:Hunter of the Dead=3
Searing Light.MOD				CLASSES:Hunter of the Dead=3
Speak with Dead.MOD			CLASSES:Hunter of the Dead=3
#4th Level:
Cure Critical Wounds.MOD		CLASSES:Hunter of the Dead=4
Death Ward.MOD				CLASSES:Hunter of the Dead=4
Disrupting Weapon.MOD			CLASSES:Hunter of the Dead=4
Freedom of Movement.MOD			CLASSES:Hunter of the Dead=4
Restoration.MOD				CLASSES:Hunter of the Dead=4

# Knight of the Chalice Spell List
Bless Water.MOD				CLASSES:Knight of the Chalice=1
Bless Weapon.MOD				CLASSES:Knight of the Chalice=1
Detect Chaos.MOD				CLASSES:Knight of the Chalice=1
Detect Evil.MOD				CLASSES:Knight of the Chalice=1
Divine Favor.MOD				CLASSES:Knight of the Chalice=1
Doom.MOD					CLASSES:Knight of the Chalice=1
Endure Elements.MOD			CLASSES:Knight of the Chalice=1
Magic Weapon.MOD				CLASSES:Knight of the Chalice=1
Protection from Evil.MOD		CLASSES:Knight of the Chalice=1
Remove Fear.MOD				CLASSES:Knight of the Chalice=1
Summon Monster I.MOD			CLASSES:Knight of the Chalice=1
#
Aid.MOD					CLASSES:Knight of the Chalice=2
Align Weapon.MOD				CLASSES:Knight of the Chalice=2
Bull's Strength.MOD			CLASSES:Knight of the Chalice=2
Consecrate.MOD				CLASSES:Knight of the Chalice=2
Bear's Endurance.MOD			CLASSES:Knight of the Chalice=2
Endure Elements.MOD			CLASSES:Knight of the Chalice=2
Sound Burst.MOD				CLASSES:Knight of the Chalice=2
Spiritual Weapon.MOD			CLASSES:Knight of the Chalice=2
Summon Monster II.MOD			CLASSES:Knight of the Chalice=2
Undetectable Alignment.MOD		CLASSES:Knight of the Chalice=2
#
Dispel Magic.MOD				CLASSES:Knight of the Chalice=3
Invisibility Purge.MOD			CLASSES:Knight of the Chalice=3
Magic Circle against Evil.MOD		CLASSES:Knight of the Chalice=3
Magic Vestment.MOD			CLASSES:Knight of the Chalice=3
Prayer.MOD					CLASSES:Knight of the Chalice=3
Protection from Energy.MOD		CLASSES:Knight of the Chalice=3
Searing Light.MOD				CLASSES:Knight of the Chalice=3
Shout.MOD					CLASSES:Knight of the Chalice=3
Summon Monster III.MOD			CLASSES:Knight of the Chalice=3
#
Dimensional Anchor.MOD			CLASSES:Knight of the Chalice=4
Discern Lies.MOD				CLASSES:Knight of the Chalice=4
Dismissal.MOD				CLASSES:Knight of the Chalice=4
Dispel Evil.MOD				CLASSES:Knight of the Chalice=4
Holy Smite.MOD				CLASSES:Knight of the Chalice=4
Magic Weapon (Greater).MOD		CLASSES:Knight of the Chalice=4
Aspect of the Deity (Lesser).MOD	CLASSES:Knight of the Chalice=4
Planar Ally (Lesser).MOD		CLASSES:Knight of the Chalice=4
