
CATEGORY=Internal|Default.MOD	DEFINE:MaxStatNPC|0





###Block: Villian Options
Death Domain	KEY:Divine Domain ~ Death Domain	CATEGORY:Special Ability	TYPE:Cleric Class Feature.Divine Domain	SOURCEPAGE:p.96	DESC:The Death domain is concerned with the forces that cause death, as well as the negative energy that gives rise to undead creatures. Deities such as Chemosh, Myrkul, and WeeJas are patrons of necromancers, death knights, liches, mummy lords, and vampires. Gods of the Death domain also embody murder (Anubi . Bhaal, and Pyremius), pain (Iuz or Loviatar), disease or poison (Incabulos, Talona, or Morgion), and the underworld (Hades and Hel).	SPELLLEVEL:CLASS|Cleric=1|False Life,Ray of Sickness|PRECLASS:1,Cleric=1	SPELLLEVEL:CLASS|Cleric=2|Blindness/Deafness,Ray of Enfeeblement|PRECLASS:1,Cleric=3	SPELLLEVEL:CLASS|Cleric=3|Animate Dead,Vampiric Touch|PRECLASS:1,Cleric=5	SPELLLEVEL:CLASS|Cleric=4|Blight,Death Ward|PRECLASS:1,Cleric=7	SPELLLEVEL:CLASS|Cleric=5|Antilife Shell,Cloudkill|PRECLASS:1,Cleric=9	ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Bonus Proficiency|Death Domain ~ Reaper|PRECLASS:1,Cleric=1	ABILITY:Cleric Class Feature|AUTOMATIC|Channel Divinity ~ Touch Of Death|PRECLASS:1,Cleric=2		ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Inescapable Destruction|PRECLASS:1,Cleric=6			ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Divine Strike|PRECLASS:1,Cleric=8		ABILITY:Cleric Class Feature|AUTOMATIC|Death Domain ~ Improved Reaper|PRECLASS:1,Cleric=17	
#
Bonus Proficiency					KEY:Death Domain ~ Bonus Proficiency		SOURCEPAGE:p.96	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:When the cleric chooses this domain at 1st level, he or she gains proficiency with martial weapons.
Reaper						KEY:Death Domain ~ Reaper				SOURCEPAGE:p.96	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:At 1st level, the cleric learns one necromancy cantrip of his or her choice from any spell list. When the cleric casts a necromancy cantrip that normally targets only one creature, the spell can instead target two creatures within range and within 5 feet of each other.
Channel Divinity: Touch Of Death		KEY:Channel Divinity ~ Touch Of Death		SOURCEPAGE:p.97	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:Starting at 2nd level, the cleric can use Channel Divinity to destroy another creature's life force by touch. When the cleric hits a creature with a melee attack, The cleric can use Channel Divinity to deal extra Necrotic damage to the target. The damage equals 5 + Twice his or her cleric level.
Inescapable Destruction				KEY:Death Domain ~ Inescapable Destruction	SOURCEPAGE:p.97	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:Starting at 6th level, the cleric's ability to channel negative energy becomes more potent. Necrotic damage dealt by the character's cleric spells and Channel Divinity options ignores resistance to necrotic damage.
Divine Strike					KEY:Death Domain ~ Divine Strike			SOURCEPAGE:p.97	CATEGORY:Special Ability	TYPE:Cleric Class Feature.SpecialQuality	DESC:At 8th level, the cleric gains the ability to infuse his or weapon strikes with necrotic energy. Once on each of the cleric's turns when he or she hits a creature with a weapon attack, the cleric can cause the attack to deal an extra 1d8 necrotic damage to the target. When the cleric reaches 14th level, the extra damage increases to 2d8.
Dread Lord			KEY:Oathbreaker ~ Dread Lord				CATEGORY:Special Ability	TYPE:Paladin Class Feature.SpecialQuality	SOURCEPAGE:p.97	DESC:At 20th-level, the paladin can, as an action, surround himself or herself with an aura of gloom that lasts for 1 minute. The aura reduces any bright light in a 30-foot radius around the paladin to dim light. Whenever an enemy that is frightened by the paladin starts its turn in the aura, it takes 4dl0 psychic damage. Additionally, the paladin and creatures he or she chooses in the aura are draped in deeper shadow. Creatures that rely on sight have disadvantage on attack rolls against creatures draped in this shadow. While the aura lasts, the paladin can use a bonus action on his or her turn to cause the shadows in the aura to attack one creature. The paladin makes a melee spell attack against the target. If the attack hits, the target takes necrotic damage equal to 3d10 +.the paladin's Charisma modifier. After activating the aura, the paladin can't do so again until he or she finishes a long rest.


CATEGORY=Internal|Default.MOD	DEFINE:Attuned_Item_Count|0	DEFINE:Attuned_Item_Max|0	BONUS:VAR|Attuned_Item_Max|3|TYPE=Base
###Block:
This Character is Violating a Rule			CATEGORY:Special Ability	TYPE:SpecialQuality.SpecialAttack.Rules Violation	DESC:You currently have 1 or more invalid combinations constituting a rule violation. Please review the character to find the listed issue(s). Item(s) to review: %1|%LIST	MULT:YES	CHOOSE:USERINPUT|TITLE=Rule Violation


###Block: Attunement Selections
Amulet Of Health							COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Amulet_Of_Health,1						ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Amulet Of Health)|PREVAREQ:Attunement_Amulet_Of_Health,0	DEFINESTAT:MINVALUE|CON|19	
Amulet Of Proof Against Detection And Location		COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Amulet_Of_Proof_Against_Detection_And_Location,1	ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Amulet Of Proof Against Detection And Location)|PREVAREQ:Attunement_Amulet_Of_Proof_Against_Detection_And_Location,0
Amulet Of The Planes						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Amulet_Of_The_Planes,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Amulet Of The Planes)|PREVAREQ:Attunement_Amulet_Of_The_Planes,0
Animated Shield							COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Animated_Shield,1						ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Animated Shield)|PREVAREQ:Attunement_Animated_Shield,0		
Armor Of Vulnerability						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Armor_Of_Vulnerability,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Armor of Vulnerability)|PREVAREQ:Attunement_Armor_Of_Vulnerability,0	
Belt of Dwarvenkind						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Belt_of_Dwarvenkind,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Belt of Dwarvenkind)|PREVAREQ:Attunement_Belt_of_Dwarvenkind,0			ASPECT:SkillBonus|You have advantage on Charisma (Persuasion) checks made to interact with dwarves|PREVARGTEQ:Attunement_Belt_of_Dwarvenkind,1
Belt Of Giant Strength (Hill)					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Belt_of_Giant_Strength_Hill,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Levitation)|PREVAREQ:Attunement_Belt_of_Giant_Strength_Hill,0		DEFINESTAT:MINVALUE|STR|21	BONUS:VAR|MaxStatStr|1
Belt Of Giant Strength (Stone)				COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Belt_of_Giant_Strength_Stone,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Levitation)|PREVAREQ:Attunement_Belt_of_Giant_Strength_Stone,0		DEFINESTAT:MINVALUE|STR|23	BONUS:VAR|MaxStatStr|3
Belt Of Giant Strength (Frost)				COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Belt_of_Giant_Strength_Frost,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Levitation)|PREVAREQ:Attunement_Belt_of_Giant_Strength_Frost,0		DEFINESTAT:MINVALUE|STR|23	BONUS:VAR|MaxStatStr|3
Belt Of Giant Strength (Fire)					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Belt_of_Giant_Strength_Fire,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Levitation)|PREVAREQ:Attunement_Belt_of_Giant_Strength_Fire,0		DEFINESTAT:MINVALUE|STR|25	BONUS:VAR|MaxStatStr|5
Belt Of Giant Strength (Cloud)				COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Belt_of_Giant_Strength_Cloud,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Levitation)|PREVAREQ:Attunement_Belt_of_Giant_Strength_Cloud,0		DEFINESTAT:MINVALUE|STR|27	BONUS:VAR|MaxStatStr|7
Belt Of Giant Strength (Storm)				COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Belt_of_Giant_Strength_Storm,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Levitation)|PREVAREQ:Attunement_Belt_of_Giant_Strength_Storm,0		DEFINESTAT:MINVALUE|STR|29	BONUS:VAR|MaxStatStr|9
Boots Of Levitation						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Boots_Of_Levitation,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Levitation)|PREVAREQ:Attunement_Boots_Of_Levitation,0					
Boots Of Speed							COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Boots_Of_Speed,1						ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Speed)|PREVAREQ:Attunement_Boots_Of_Speed,0						
Boots Of Striding And Springing				COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Boots_Of_Striding_And_Springing,1			ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of Striding And Springing)|PREVAREQ:Attunement_Boots_Of_Striding_And_Springing,0			
Boots Of The Winterlands					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Boots_Of_The_Winterlands,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Boots Of The Winterlands)|PREVAREQ:Attunement_Boots_Of_The_Winterlands,0				
Bracers Of Archery						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Bracers_Of_Archery,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Bracers Of Archery)|PREVAREQ:Attunement_Bracers_Of_Archery,0					
Bracers Of Defense						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Bracers_Of_Defense,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Bracers Of Defense)|PREVAREQ:Attunement_Bracers_Of_Defense,0					
Brooch Of Shielding						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Brooch_Of_Shielding,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Brooch Of Shielding)|PREVAREQ:Attunement_Brooch_Of_Shielding,0					
Candle Of Invocation						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Candle_Of_Invocation,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Candle Of Invocation)|PREVAREQ:Attunement_Candle_Of_Invocation,0					
Cloak Of Arachnida						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Cloak_Of_Arachnida,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Cloak Of Arachnida)|PREVAREQ:Attunement_Cloak_Of_Arachnida,0					
Cloak Of Displacement						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Cloak_Of_Displacement,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Cloak Of Displacement)|PREVAREQ:Attunement_Cloak_Of_Displacement,0					
Cloak Of Elevenkind						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Cloak_Of_Elevenkind,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Cloak Of Elevenkind)|PREVAREQ:Attunement_Cloak_Of_Elevenkind,0					
Cloak Of Invisibility						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Cloak_Of_Invisibility,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Cloak Of Invisibility)|PREVAREQ:Attunement_Cloak_Of_Invisibility,0					
Cloak Of Protection						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Cloak_Of_Protection,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Cloak Of Protection)|PREVAREQ:Attunement_Cloak_Of_Protection,0					
Cloak Of The Bat							COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Cloak_Of_The_Bat,1						ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Cloak Of The Bat)|PREVAREQ:Attunement_Cloak_Of_The_Bat,0						
Crystal Ball							COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Crystal_Ball,1						ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Crystal Ball)|PREVAREQ:Attunement_Crystal_Ball,0						
Crystal Ball Of Mind Reading					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Crystal_Ball_Of_Mind_Reading,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Crystal Ball Of Mind Reading)|PREVAREQ:Attunement_Crystal_Ball_Of_Mind_Reading,0				
Crystal Ball Of Telepathy					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Crystal_Ball_Of_Telepathy,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Crystal Ball Of Telepathy)|PREVAREQ:Attunement_Crystal_Ball_Of_Telepathy,0				
Crystal Ball Of True Seeing					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Crystal_Ball_Of_True_Seeing,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Crystal Ball Of True Seeing)|PREVAREQ:Attunement_Crystal_Ball_Of_True_Seeing,0				
Cube Of Force							COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Cube_Of_Force,1						ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Cube Of Force)|PREVAREQ:Attunement_Cube_Of_Force,0						
Demon Armor								COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Demon_Armor,1							ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Demon Armor)|PREVAREQ:Attunement_Demon_Armor,0							
Dimensional Shackles						COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Dimensional_Shackles,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Dimensional Shackles)|PREVAREQ:Attunement_Dimensional_Shackles,0					
Dragon Scale Mail (Black)					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Dragon_Scale_Mail_Black,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Dragon Scale Mail (Black))|PREVAREQ:Attunement_Dragon_Scale_Mail_Black,0					
Dragon Scale Mail (Blue)					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Dragon_Scale_Mail_Blue,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Dragon Scale Mail (Blue))|PREVAREQ:Attunement_Dragon_Scale_Mail_Blue,0					
Dragon Scale Mail (Brass)					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Dragon_Scale_Mail_Brass,1					ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Dragon Scale Mail (Brass))|PREVAREQ:Attunement_Dragon_Scale_Mail_Brass,0					
Dragon Scale Mail (Bronze)					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Dragon_Scale_Mail_Bronze,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Dragon Scale Mail (Bronze))|PREVAREQ:Attunement_Dragon_Scale_Mail_Bronze,0				
Dragon Scale Mail (Copper)					COST:0	CATEGORY:Attunement	TYPE:Attunement	PREVARLT:Attuned_Item_Count,Attuned_Item_Max	BONUS:VAR|Attuned_Item_Count|1	PREVARGTEQ:Attunement_Dragon_Scale_Mail_Copper,1				ABILITY:Special Ability|AUTOMATIC|This Character is Violating a Rule (Dragon Scale Mail (Copper))|PREVAREQ:Attunement_Dragon_Scale_Mail_Copper,0				
