Race Traits ~ Spellscale	CATEGORY:Internal			ABILITY:Spellscale Race Trait|AUTOMATIC|Spellscale ~ Racial Traits|Spellscale ~ Blood Quickening


Spellscale Racial Traits	KEY:Spellscale ~ Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellscaleRaceTrait
	DESC:Blood Quickening: Each day, a spellscale can perform a draconic meditation to gain a benefit. Variations of this meditation are described in the Blood-Quickening Meditations sidebar, page 25.

Blood Quickening	KEY:Spellscale ~ Blood Quickening	CATEGORY:Special Ability	TYPE:SpecialQuality.SpellscaleRaceTrait	DESC:Each day, a spellscale can perform a draconic meditation to gain a benefit. Variations of this meditation are described in the Blood-Quickening Meditations sidebar, page 25.


#COMMENT: This should be a given for Kobolds.
CATEGORY=Internal|Race Traits ~ Kobold.MOD	BONUS:ABILITYPOOL|Kobold Draconic Rite of Passage|1


#ABILITY:Kobold Race Trait|AUTOMATIC|Kobold  ~ Racial Traits

#Kobold Racial Traits	KEY:Kobold ~ Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality
#	DESC:+1 natural armor bonus.
#	DESC:Darkvision: Kobolds can see in the dark up to 60 feet. Darkvision is black and white only, but it is otherwise like normal sight. Kobolds can function just fine with no light at all.
#	DESC:All kobolds add Craft (trapmaking) to their list of class skills.
#	DESC:+2 racial bonus on Craft (trapmaking), Profession (miner), and Search checks.
#	DESC:Light Sensitivity: Kobolds are dazzled in bright sunlight or within the radius of a daylight spell.


#Darkvision	KEY:Kobold ~ Darkvision	CATEGORY:Special Ability	TYPE:KoboldRaceTrait	DESC:Kobolds can see in the dark up to 60 feet. Darkvision is black and white only, but it is otherwise like normal sight. Kobolds can function just fine with no light at all.
#	DESC:All kobolds add Craft (trapmaking) to their list of class skills.
#	DESC:+2 racial bonus on Craft (trapmaking), Profession (miner), and Search checks.
#	DESC:Light Sensitivity: Kobolds are dazzled in bright sunlight or within the radius of a daylight spell.



###Block: Template - Draconic Creature
Saves	KEY:Draconic Creature ~ Saves	CATEGORY:Special Ability	TYPE:SpecialQuality	DESC:Draconic creatures have a +4 racial bonus on saves against magic sleep effects and paralysis.	ASPECT:SaveInfo|+4 racial bonus on saves against magic sleep effects and paralysis.

###Block: Misc
Draconic Rite of Passage	KEY:Kobold ~ Draconic Rite of Passage	COST:1	PRERACE:1,Kobold%	BONUS:HP|CURRENTMAX|-1	CATEGORY:Special Ability	TYPE:KoboldDraconicRiteOfPassage.SpecialQuality	BONUS:ABILITYPOOL|Kobold SLA|1	DESC:The Draconic Rite of Passage awakens the sorcerous power within the blood of kobolds.	PRETEXT:Only kobolds can undergo the Draconic Rite of Passage. A kobold requires no one else to perform the rite; it is a solitary activity.	BENEFIT:Upon completing this rite, a kobold chooses any 1st-level sorcerer spell. He can now use that spell once per day as a spell-like ability, using his character level as his caster level. Each day, a kobold must complete the Searching for the Dragon meditation (see above) in order to recharge this spell-like ability for the day. No kobold can benefi t from this rite more than once. Time: A kobold who undergoes this rite must fi rst endure nine days of fasting. Immediately thereafter, the kobold must succeed on a DC 10 Concentration check to enter a deep trance that lasts for 24 hours. If the check fails, the rite must begin anew. Cost: This rite requires sacrifi cing a gem of at least 100 gp in value. The kobold also permantly loses 1 hit point upon completion of the rite.
Detect Secret Doors	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Detect Secret Doors	ABILITY:Spell-Like Ability|AUTOMATIC|Detect Secret Doors	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|DetectSecretDoorsTimes|1	BONUS:VAR|DetectSecretDoorsLVL|TL		
Detect Undead	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Detect Undead	ABILITY:Spell-Like Ability|AUTOMATIC|Detect Undead	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|DetectUndeadTimes|1	BONUS:VAR|DetectUndeadLVL|TL		
Identify	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Identify	ABILITY:Spell-Like Ability|AUTOMATIC|Identify	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|IdentifyTimes|1	BONUS:VAR|IdentifyLVL|TL		
True Strike	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ True Strike	ABILITY:Spell-Like Ability|AUTOMATIC|True Strike	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|TrueStrikeTimes|1	BONUS:VAR|TrueStrikeLVL|TL		
# Enchantment
Charm Person	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Charm Person	ABILITY:Spell-Like Ability|AUTOMATIC|Charm Person	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|CharmPersonTimes|1	BONUS:VAR|CharmPersonLVL|TL		
Hypnotism	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Hypnotism	ABILITY:Spell-Like Ability|AUTOMATIC|Hypnotism	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|HypnotismTimes|1	BONUS:VAR|HypnotismLVL|TL		
Sleep	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Sleep	ABILITY:Spell-Like Ability|AUTOMATIC|Sleep	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|SleepTimes|1	BONUS:VAR|SleepLVL|TL		
# Evocation
Burning Hands	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Burning Hands	ABILITY:Spell-Like Ability|AUTOMATIC|Burning Hands	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|BurningHandsTimes|1	BONUS:VAR|BurningHandsLVL|TL		
Magic Missile	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Magic Missile	ABILITY:Spell-Like Ability|AUTOMATIC|Magic Missile	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|MagicMissileTimes|1	BONUS:VAR|MagicMissileLVL|TL		
Shocking Grasp	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Shocking Grasp	ABILITY:Spell-Like Ability|AUTOMATIC|Shocking Grasp	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ShockingGraspTimes|1	BONUS:VAR|ShockingGraspLVL|TL		
Tenser's Floating Disk	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Tenser's Floating Disk	ABILITY:Spell-Like Ability|AUTOMATIC|Tenser's Floating Disk	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|TensersFloatingDiskTimes|1	BONUS:VAR|TensersFloatingDiskLVL|TL		
# Illusion
Color Spray	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Color Spray	ABILITY:Spell-Like Ability|AUTOMATIC|Color Spray	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ColorSprayTimes|1	BONUS:VAR|ColorSprayLVL|TL		
Disguise Self	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Disguise Self	ABILITY:Spell-Like Ability|AUTOMATIC|Disguise Self	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|DisguiseSelfTimes|1	BONUS:VAR|DisguiseSelfLVL|TL		
Nystul's Magic Aura	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Nystul's Magic Aura	ABILITY:Spell-Like Ability|AUTOMATIC|Nystul's Magic Aura	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|NystulsMagicAuraTimes|1	BONUS:VAR|NystulsMagicAuraLVL|TL		
Silent Image	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Silent Image	ABILITY:Spell-Like Ability|AUTOMATIC|Silent Image	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|SilentImageTimes|1	BONUS:VAR|SilentImageLVL|TL		
Ventriloquism	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Ventriloquism	ABILITY:Spell-Like Ability|AUTOMATIC|Ventriloquism	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|VentriloquismTimes|1	BONUS:VAR|VentriloquismLVL|TL		
# Necromancy
Cause Fear	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Cause Fear	ABILITY:Spell-Like Ability|AUTOMATIC|Cause Fear	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|CauseFearTimes|1	BONUS:VAR|CauseFearLVL|TL		
Chill Touch	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Chill Touch	ABILITY:Spell-Like Ability|AUTOMATIC|Chill Touch	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ChillTouchTimes|1	BONUS:VAR|ChillTouchLVL|TL		
Ray of Enfeeblement	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Ray of Enfeeblement	ABILITY:Spell-Like Ability|AUTOMATIC|Ray of Enfeeblement	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|RayOfEnfeeblementTimes|1	BONUS:VAR|RayOfEnfeeblementLVL|TL		
# Transmutation
Animate Rope	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Animate Rope	ABILITY:Spell-Like Ability|AUTOMATIC|Animate Rope	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|AnimateRopeTimes|1	BONUS:VAR|AnimateRopeLVL|TL		
Enlarge Person	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Enlarge Person	ABILITY:Spell-Like Ability|AUTOMATIC|Enlarge Person	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|EnlargePersonTimes|1	BONUS:VAR|EnlargePersonLVL|TL		
Erase	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Erase	ABILITY:Spell-Like Ability|AUTOMATIC|Erase	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|EraseTimes|1	BONUS:VAR|EraseLVL|TL		
Expeditious Retreat	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Expeditious Retreat	ABILITY:Spell-Like Ability|AUTOMATIC|Expeditious Retreat	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ExpeditiousRetreatTimes|1	BONUS:VAR|ExpeditiousRetreatLVL|TL		
Feather Fall	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Feather Fall	ABILITY:Spell-Like Ability|AUTOMATIC|Feather Fall	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	BONUS:VAR|FeatherFallTimes|1	BONUS:VAR|FeatherFallLVL|TL		
Jump	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Jump	ABILITY:Spell-Like Ability|AUTOMATIC|Jump	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|JumpTimes|1	BONUS:VAR|JumpLVL|TL		
Magic Weapon	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Magic Weapon	ABILITY:Spell-Like Ability|AUTOMATIC|Magic Weapon	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|MagicWeaponTimes|1	BONUS:VAR|MagicWeaponLVL|TL		
Reduce Person	SORTKEY:Kobold_SLA_2	KEY:Kobold SLA ~ Reduce Person	ABILITY:Spell-Like Ability|AUTOMATIC|Reduce Person	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality.FirstLevelSorcererSLA	VISIBLE:YES	BONUS:VAR|ReducePersonTimes|1	BONUS:VAR|ReducePersonLVL|TL		

Choose Spell	SORTKEY:Kobold_SLA_1	KEY:Kobold SLA ~ Choose Spell	CATEGORY:Special Ability	MULT:YES	CHOOSE:SPELLS|CLASSLIST=Sorcerer[LEVELMIN=1,LEVELMAX=1]	DESC:Kobold SLA selected = %1 1/day, Caster level = %2|%LIST|TL	ASPECT:NotesSection|SLA	ASPECT:Notes|Kobold SLA selected = %1 1/day, Caster level = %2|%LIST|TL


