# CVS $Revision: $ $Author: $ -- Mon Feb 22 22:56:28 2016 -- reformated by PCGen PrettyLST v6.06.00



# Modifier Name	Unique Key						Special Property
Finesse		KEY:FINESSE		ITYPE:FINESSE		SPROP:When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls.
#Handaxe.MOD			DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Javelin.MOD			DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Light Hammer.MOD				DAMAGE:2d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Mace.MOD				DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Quarterstaff.MOD				DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Sickle.MOD			DAMAGE:2d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Spear.MOD			DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Unarmed Strike.MOD			DAMAGE:1 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Crossbow, Light.MOD			DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Dart.MOD				DAMAGE:2d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Shortbow.MOD			DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Sling.MOD			DAMAGE:2d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Battleaxe.MOD		DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Flail.MOD			DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Glaive.MOD			DAMAGE:1d10 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Greataxe.MOD			DAMAGE:1d12 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Greatsword.MOD		DAMAGE:2d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Halberd.MOD			DAMAGE:1d10 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Lance.MOD			DAMAGE:1d12 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Longsword.MOD		DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Maul.MOD				DAMAGE:2d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Morningstar.MOD		DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Pike.MOD				DAMAGE:1d10 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Rapier.MOD			DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Scimitar.MOD			DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Shortsword.MOD		DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Trident.MOD			DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#War Pick.MOD			DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Warhammer.MOD		DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Whip.MOD				DAMAGE:2d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Blowgun.MOD			DAMAGE:1 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Crossbow, Hand.MOD			DAMAGE:1d6 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Crossbow, Heavy.MOD			DAMAGE:1d10 + 1d4	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)
#Longbow.MOD			DAMAGE:1d8 + 1d4		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes	PRECLASS:1,Ranger=3,[Ranger=11]			SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d4 (Psycic)

#Club.MOD				DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11	SPROP:Fey Wanderer ~ Dreadful Strikes Damage + 1d6 (Psycic)
#Whip.MOD				DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Dagger.MOD			DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Unarmed Strike (Monk).MOD			DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes		PRECLASS:1,Ranger=11
#Greatclub.MOD		DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Handaxe.MOD			DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Javelin.MOD			DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Light Hammer.MOD				DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Mace.MOD				DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Quarterstaff.MOD				DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes		PRECLASS:1,Ranger=11
#Sickle.MOD			DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Spear.MOD			DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Unarmed Strike.MOD			DAMAGE:1 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Crossbow, Light.MOD			DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes		PRECLASS:1,Ranger=11
#Dart.MOD				DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Shortbow.MOD			DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Sling.MOD			DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Battleaxe.MOD		DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Flail.MOD			DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Glaive.MOD			DAMAGE:1d10 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Greataxe.MOD			DAMAGE:1d12 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Greatsword.MOD		DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Halberd.MOD			DAMAGE:1d10 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Lance.MOD			DAMAGE:1d12 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Longsword.MOD		DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Maul.MOD				DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Morningstar.MOD		DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Pike.MOD				DAMAGE:1d10 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Rapier.MOD			DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Scimitar.MOD			DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Shortsword.MOD		DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Trident.MOD			DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#War Pick.MOD			DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Warhammer.MOD		DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Whip.MOD				DAMAGE:1d4 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Blowgun.MOD			DAMAGE:1 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11
#Crossbow, Hand.MOD			DAMAGE:2d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes		PRECLASS:1,Ranger=11
#Crossbow, Heavy.MOD			DAMAGE:1d10 + 1d6	PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes		PRECLASS:1,Ranger=11
#Longbow.MOD			DAMAGE:1d8 + 1d6		PREABILITY:1,CATEGORY=Special Ability,Fey Wanderer ~ Dreadful Strikes			PRECLASS:1,Ranger=11

