# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)




# Deity Name	Unique Key		Domains									Deity Weapon			Align		Pantheon		Source Page		SORTKEY
Bahamut		KEY:Bahamut		DOMAINS:Air,Cold,Good,Luck,Protection|PREALIGN:LN,NG,LG	DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LG	PANTHEON:Base|CD	SOURCEPAGE:p.108	SORTKEY:Gods_a
Kurtulmak		KEY:Kurtulmak	DOMAINS:Evil,Law,Luck,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Spear			ALIGN:LE	PANTHEON:Base|CD	SOURCEPAGE:p.113	SORTKEY:Gods_a
#Geshtai	KEY:Geshtai		DOMAINS:Plant, Travel, Water, Weather*|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Incabulos	KEY:Incabulos	DOMAINS:Death, Destruction, Evil,Pestilence*|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:NE	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Istus		KEY:Istus		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Iuz		KEY:Iuz		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:CE	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Joramy	KEY:Joramy		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Lirr		KEY:Lirr		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:CG	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Llerg		KEY:Llerg		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:CN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Mouqol	KEY:Mouqol		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Osprem	KEY:Osprem		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Pholtus	KEY:Pholtus		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LG	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Procan	KEY:Procan		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:CN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Pyremius	KEY:Pyremius	DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:NE	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Rao		KEY:Rao		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LG	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Telchur	KEY:Telchur		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:CN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Tharizdun	KEY:Tharizdun	DOMAINS:Chaos,Destruction,Evil,Force,Madness|PREALIGN:CE,NE,LE,TN		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:NE	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Trithereon	KEY:Trithereon	DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:CG	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Wastri	KEY:Wastri		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:LN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Xan Yae	KEY:Xan Yae		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a
#Zuoken	KEY:Zuoken		DOMAINS:Destruction,Evil,Law,Trickery|PREALIGN:LN,NE,LE		DEITYWEAP:Pick (Heavy)|Bite	ALIGN:TN	PANTHEON:Base|CD	SOURCEPAGE:p.117	SORTKEY:Gods_a

###Block: Monster Deities
#Annam giants N Knowledge, Magic, Plant, Sun slam or shortspear G
#Blibdoolpoolp kuo-toas CE Destruction, Evil, Water pincer staff I
#Callarduran svirfneblin N Earth, Good, Healing, Protection battleaxe I
#Smoothhands
#Deep Sashelas aquatic elves CG Chaos, Good, Protection, Water trident I
#Diirinka derro CE Chaos, Dream, Evil, Magic, Trickery dagger I
#Eadro locathahs, merfolk N Animal, Protection, Water spear I
#Great Mother beholders CE Chaos, Death, Evil, Strength bite or greataxe G
#Grolantor hill giants, ettins, ogres CE Chaos, Death, Earth, Evil club I
#Hiatea female giants NG Animal, Good, Plant, Sun spear G
#Hruggek bugbears CE Knowledge, Law, Magic morningstar I
#Iallanis cloud giants, storm giants, NG Good, Healing, Strength, Sun slam or battleaxe L
#stone giants
#Ilsensine mind flayers LE Evil, Knowledge, Law, Magic,Mind unarmed strike G
#* or tentacle
#Kaelthiere salamanders, efreet, azer NE Destruction, Evil, Fire, War spear I
#Laduguer duergar LE Domination*, Earth, Evil, Law, War warhammer I
#Laogzed troglodytes CE Chaos, Death, Destruction, Evil javelin D
#Maglubiyet goblins, hobgoblins NE Chaos, Destruction, Evil, Trickery battleaxe G
#Memnor evil cloud giants NE Death, Evil, Trickery morningstar I
#Merrshaulk yuan-ti CE Chaos, Destruction, Evil, Plant longsword I
#Panzuriel merrows, scrags, krakens NE Destruction, Evil, War, Water quarterstaff I
#Sekolah sahuagin LE Evil, Law, Strength, War trident L
#Semuanya lizardfolk N Animal, Plant, Water greatclub L
#Shekinester nagas N Destruction, Knowledge, Magic,Protection bite or dagger G
#
#Skoraeus stone giants N Earth, Healing, Knowledge, warhammer I
#Stonebones Protection
#Sixin xills LE Evil, Law, Strength, Travel short sword I
#Skerrit centaurs NG Animal, Healing, Plant, Sun spear L
#Stronmaus storm giants, cloud giants CG Chaos, Good, Protection, War, Weather warhammer G
#Surtr fire giants LE Evil, Fire, Law, Strength, War greatsword L
#Thrym frost giants CE Chaos, Cold*, Destruction, Evil,War greataxe L

#Vaprak ogres, trolls CE Chaos, Destruction, Evil, Strength greatclub D
