# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
# Orginal Entry By: Loyal

# Wizardry Modes
# Skill Name				Key Stat	Untrained?		Type						Source Page
Invocation Mode (Defend)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Heal)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Illusion)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Influence)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Move)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Reveal)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Summon)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Transform)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
Invocation Mode (Ward)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeInvocation.Mode	SOURCEPAGE:207
# Shamanism Modes
Shamanism Mode (Alter)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Attack)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Defend)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Heal)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Illusion)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Influence)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Move)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Reveal)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Summon)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Transform)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
Shamanism Mode (Ward)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeShamanism.Mode	SOURCEPAGE:207
# Pyromancy Modes
Pyromantic Mode (Attack)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
Pyromantic Mode (Conjure)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
Pyromantic Mode (Defend)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
Pyromantic Mode (Move)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
Pyromantic Mode (Reveal)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
Pyromantic Mode (Summon)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
Pyromantic Mode (Transform)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
Pyromantic Mode (Ward)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModePyromancy.Mode	SOURCEPAGE:207
# Aeromancy Modes
Aeromantic Mode (Attack)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
Aeromantic Mode (Conjure)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
Aeromantic Mode (Defend)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
Aeromantic Mode (Move)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
Aeromantic Mode (Reveal)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
Aeromantic Mode (Summon)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
Aeromantic Mode (Transform)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
Aeromantic Mode (Ward)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAeromancy.Mode	SOURCEPAGE:207
# Aquamancy Modes
Aquamantic Mode (Attack)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
Aquamantic Mode (Conjure)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
Aquamantic Mode (Defend)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
Aquamantic Mode (Move)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
Aquamantic Mode (Reveal)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
Aquamantic Mode (Summon)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
Aquamantic Mode (Transform)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
Aquamantic Mode (Ward)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeAquamancy.Mode	SOURCEPAGE:207
# Geomancy Modes
Geomantic Mode (Attack)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
Geomantic Mode (Conjure)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
Geomantic Mode (Defend)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
Geomantic Mode (Move)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
Geomantic Mode (Reveal)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
Geomantic Mode (Summon)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
Geomantic Mode (Transform)		KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
Geomantic Mode (Ward)			KEYSTAT:STR	USEUNTRAINED:NO	TYPE:Strength.ModeGeomancy.Mode	SOURCEPAGE:207
# Natural Magic Modes
Natural Magic Mode (Alter)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Attack)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Conjure)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Defend)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Heal)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Illusion)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Influence)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Move)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Reveal)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Summon)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Transform)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
Natural Magic Mode (Ward)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeNatural.Mode		SOURCEPAGE:207
# Witchcraft Modes
Witchcraft Mode (Alter)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Attack)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Defend)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Heal)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Illusion)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Influence)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Move)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Reveal)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Summon)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Transform)		KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
Witchcraft Mode (Ward)			KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.ModeWitchcraft.Mode	SOURCEPAGE:207
# Crystalomancy Modes
Crystalomancy Mode (Alter)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Attack)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Defend)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Heal)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Illusion)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Influence)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Move)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Reveal)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Summon)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
Crystalomancy Mode (Ward)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeCrystalomancy.Mode	SOURCEPAGE:207
# Mysticism Modes
Mysticism Mode (Alter)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Attack)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Defend)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Heal)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Illusion)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Influence)		KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Move)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Reveal)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Summon)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
Mysticism Mode (Ward)			KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.ModeMysticism.Mode	SOURCEPAGE:207
