# CVS $Revision: $ $Author: $ -- Fri Apr  1 08:57:13 2005 -- reformated by prettylst.pl v1.34 (build 455)
SOURCELONG:d20Talislanta	SOURCESHORT:d20Tal	SOURCEWEB:http://www.talislanta.com
# Orginal Entry By: Loyal

# Equipment Name		Output Name					Required Proficiency				Type															Alternative Type					Cost		Weight	Slot Needed	Critical Hit Multiplier	Critical Hit Range	Alternative Critical	Alternative Critical Range	Damage	Alternative Damage	Modifier	Wield Category	Range		Size		BONUS:EQM																			Special Property

####Block: Simple Weapons
#------light---------
# Armor Spikes								PROFICIENCY:WEAPON|Spiked Armor			TYPE:Weapon.Martial.Melee.Standard.Piercing.Metal.Unarmed.Accessories											COST:0	WT:0		SLOTS:0	CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL	WIELD:Light																										SPROP:deals extra piercing damage on a successful grapple attack
# Equipment Name	Output Name				Required Proficiency		Type															Alternative Type				Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Alternative Critical	Alternative Critical Range	Damage	Alternative Damage	Modifier		Wield Category	Range		Size
Sap								PROFICIENCY:WEAPON|Sap			TYPE:Weapon.Melee.Finesseable.Martial.Subdual.Standard.Bludgeoning.Sap										COST:1	WT:2		CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6								WIELD:Light				SIZE:M
# Spiked Armor								PROFICIENCY:WEAPON|Spiked Armor			TYPE:Weapon.Melee.Finesseable.Martial.Accessories.Standard.Piercing.Spiked										COST:0	WT:0		SLOTS:0	CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL	WIELD:Light				SIZE:M
Sword (Short)	OUTPUTNAME:Sword, Short		PROFICIENCY:WEAPON|Sword (Short)	TYPE:Weapon.Melee.Finesseable.Martial.Standard.Piercing.Sword											COST:5	WT:2		CRITMULT:x2			CRITRANGE:2												DAMAGE:1d6					EQMOD:STEEL		WIELD:Light				SIZE:M

#-----one handed -------
Battleaxe							PROFICIENCY:WEAPON|Battleaxe		TYPE:Weapon.Melee.Martial.Standard.Slashing.Axe														COST:3	WT:6		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d8					EQMOD:STEEL		WIELD:OneHanded			SIZE:M
Bwan								PROFICIENCY:WEAPON|Bwan			TYPE:Weapon.Melee.Simple.Standard.Bludgeoning.Bwan													COST:0	WT:8		CRITMULT:x2			CRITRANGE:1												DAMAGE:1d8					EQMOD:WOOD		WIELD:OneHanded			SIZE:M
Rapier							PROFICIENCY:WEAPON|Rapier		TYPE:Weapon.Melee.Martial.Finesseable.Standard.Piercing.Sword											COST:20	WT:2		CRITMULT:x2			CRITRANGE:3												DAMAGE:1d6					EQMOD:STEEL		WIELD:OneHanded			SIZE:M
Scimitar							PROFICIENCY:WEAPON|Scimitar		TYPE:Weapon.Melee.Martial.Standard.Slashing.Sword													COST:15	WT:4		CRITMULT:x2			CRITRANGE:3												DAMAGE:1d6					EQMOD:STEEL		WIELD:OneHanded			SIZE:M
Sword (Long)	OUTPUTNAME:Longsword		PROFICIENCY:WEAPON|Sword (Long)	TYPE:Weapon.Melee.Martial.Standard.Slashing.Sword													COST:12	WT:4		CRITMULT:x2			CRITRANGE:2												DAMAGE:1d8					EQMOD:STEEL		WIELD:OneHanded			SIZE:M
Warhammer							PROFICIENCY:WEAPON|Warhammer		TYPE:Weapon.Melee.Martial.Standard.Bludgeoning.Hammer													COST:5	WT:5		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d8					EQMOD:STEEL		WIELD:OneHanded			SIZE:M
# Sword (Dueling)								PROFICIENCY:WEAPON|Sword (Dueling)			TYPE:Weapon.Melee.Martial.Finesseable.Standard.Piercing.Sword												COST:25	WT:3				CRITMULT:x2			CRITRANGE:3												DAMAGE:1d6					EQMOD:STEEL	WIELD:OneHanded			SIZE:M
# War Flail			OUTPUTNAME:War Flail			PROFICIENCY:WEAPON|War Flail				TYPE:Weapon.Melee.Martial.Standard.Bludgeoning.Flail														COST:12	WT:12				CRITMULT:x2			CRITRANGE:1												DAMAGE:1d10					EQMOD:STEEL	WIELD:OneHanded			SIZE:M

#-----two handed -------
Battle Maul							PROFICIENCY:WEAPON|Battle Maul		TYPE:Weapon.Melee.Martial.Reach.Standard.Bludgeoning.Polearm											COST:50	WT:90		CRITMULT:x3			CRITRANGE:1												DAMAGE:2d8					EQMOD:STEEL		WIELD:TwoHanded			SIZE:M
Falchion							PROFICIENCY:WEAPON|Falchion		TYPE:Weapon.Melee.Martial.Standard.Slashing.Sword													COST:50	WT:8		CRITMULT:x2			CRITRANGE:3												DAMAGE:2d4					EQMOD:STEEL		WIELD:TwoHanded			SIZE:M
Greatsword							PROFICIENCY:WEAPON|Greatsword		TYPE:Weapon.Melee.Martial.Standard.Slashing.Sword													COST:60	WT:8		CRITMULT:x2			CRITRANGE:2												DAMAGE:2d6					EQMOD:STEEL		WIELD:TwoHanded			SIZE:M
Halberd							PROFICIENCY:WEAPON|Halberd		TYPE:Weapon.Melee.Martial.Standard.Piercing.Slashing.Polearm											COST:15	WT:12		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d10					EQMOD:STEEL		WIELD:TwoHanded			SIZE:M
Lance								PROFICIENCY:WEAPON|Lance			TYPE:Weapon.Melee.Martial.Reach.Standard.Piercing.Lance												COST:5	WT:10		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d8					EQMOD:WOOD		WIELD:TwoHanded			SIZE:M

####Block: Exotic Weapons
#------light---------
Crescent Knife						PROFICIENCY:WEAPON|Crescent Knife	TYPE:Weapon.Melee.Exotic.Ranged.Finesseable.Thrown.Standard.Slashing.Dagger									COST:3	WT:1		CRITMULT:x2			CRITRANGE:1												DAMAGE:1d6					EQMOD:STEEL		WIELD:Light		RANGE:10	SIZE:M
Crystalblade						PROFICIENCY:WEAPON|Crystalblade	TYPE:Weapon.Melee.Exotic.Finesseable.Thrown.Standard.Slashing.Dagger										COST:60	WT:3		CRITMULT:x2			CRITRANGE:2												DAMAGE:1d8					EQMOD:CRYSTAL	WIELD:Light				SIZE:M

#-----one handed -------
Whip								PROFICIENCY:WEAPON|Whip			TYPE:Weapon.Melee.Exotic.Reach.Finesseable.Subdual.Slashing												COST:1	WT:1		CRITMULT:x2			CRITRANGE:1												DAMAGE:1d3								WIELD:OneHanded			SIZE:M

#-----two handed -------
Blade Staff							PROFICIENCY:WEAPON|Blade Staff		TYPE:Weapon.Melee.Exotic.Standard.Piercing.Staff													COST:25	WT:6		CRITMULT:x3			CRITRANGE:1												DAMAGE:1d8					EQMOD:STEEL		WIELD:TwoHanded	RANGE:20	SIZE:M
