# CVS $Revision: $ $Author: $ -- Fri Sep  5 11:40:25 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Traveller's Aid 1 Personal Weapons	SOURCESHORT:TA1	SOURCEWEB:http://www.rpgrealms.com


###Block:Ranged Weapons
# SPECIFIC BOW WEAPONS AND OTHER LOW-TECH MISSILE WEAPONS
# Equipment Name	Required Weapon Proficiency			Type											Contains			Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page							Special Property
Fowler		PROFICIENCY:WEAPON|Shortbow			TYPE:Weapon.Ranged.Specific.Piercing.Container.Bow.Shortbow.TL1	CONTAINS:1|Arrow=1	COST:50	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	RANGE:18	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Shortbow Archery Inc Std for type
# MODERN FIREARMS
# SPECIFIC HANDGUNS
# Equipment Name	Required Weapon Proficiency		Type											Contains				Cost		Weight	Crit Mult	Crit Range	Damage		Range		Size		Source Page							Special Property
Last Resort		PROFICIENCY:WEAPON|Derringer		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.8mm.TL4	CONTAINS:*1|H_M_Bul_8mm=1	COST:100	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d8		RANGE:5	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:8mm Derringer GoG Single Barrel Std for type
Stealth 5		PROFICIENCY:WEAPON|Body Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.5mm.TL9	CONTAINS:*1|H_M_Mag_5mm=1	COST:200	WT:0.25	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6		RANGE:24	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:5mm Body Pistol GoG Std for type
Stealth Cannon	PROFICIENCY:WEAPON|Body Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL9	CONTAINS:*1|H_M_Mag_10mm=1	COST:200	WT:0.25	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6		RANGE:24	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Hvy Body Pistol GoG Double Barrel Std for type
Holdout 8mm		PROFICIENCY:WEAPON|Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.8mm.TL6	CONTAINS:*5|H_M_Bul_18mm=5	COST:100	WT:0.65	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6		RANGE:15	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:8mm Holdout ZK Revolver Std for type
Bodyguard		PROFICIENCY:WEAPON|Auto Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.8mm.TL6	CONTAINS:*1|H_M_Mag_8mm=1	COST:150	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6		RANGE:15	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:8mm Holdout ZK Autopist Std for type
Sidearm Six		PROFICIENCY:WEAPON|Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL4	CONTAINS:*6|H_M_Bul_10mm=6	COST:150	WT:0.9	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10		RANGE:30	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Revolver ZK Std for type
Reliant 10mm	PROFICIENCY:WEAPON|Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL4	CONTAINS:*6|H_M_Bul_10mm=6	COST:200	WT:0.9	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10		RANGE:30	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Revolver Portcullis Good reputation
Target 10		PROFICIENCY:WEAPON|Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL4	CONTAINS:*6|H_M_Bul_10mm=6	COST:500	WT:0.9	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10		RANGE:30	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Revolver WTO Highly accurate
Sidearm Slim	PROFICIENCY:WEAPON|Auto Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL5	CONTAINS:*1|H_M_Mag_10mm=1	COST:200	WT:0.75	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10		RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Autopistol ZK Std for type Cap 12 rounds
Sidearm HiCap	PROFICIENCY:WEAPON|Auto Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL5	CONTAINS:*1|H_M_Mag_10mm=1	COST:220	WT:0.75	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10		RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Autopistol ZK Std for type Cap 18 rounds
Service Auto	PROFICIENCY:WEAPON|Auto Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL5	CONTAINS:*1|H_M_Mag_10mm=1	COST:250	WT:0.75	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10		RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Autopistol Imperial Arms Std for type Cap 15 rounds
Universal 10mm	PROFICIENCY:WEAPON|Staple Gun		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.10mm.TL11	CONTAINS:*1|H_M_Mag_10mm=1	COST:200	WT:0.75	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d8		RANGE:25	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Staple Gun Imperial Arms Std for type
Manstopper Six	PROFICIENCY:WEAPON|Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.12mm.TL6	CONTAINS:*6|H_M_Bul_12mm=6	COST:400	WT:1.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12		RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:12mm Magnum Rev. ZK Std for type
Precision 12	PROFICIENCY:WEAPON|Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.12mm.TL6	CONTAINS:*6|H_M_Bul_12mm=6	COST:1200	WT:1.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12		RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:12mm Magnum Rev. Portcullis Highly Accurate
Loyalist 12mm	PROFICIENCY:WEAPON|Auto Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.12mm.TL8	CONTAINS:*1|H_M_Mag_12mm=1	COST:500	WT:1.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12		RANGE:65	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:12mm Magnum Auto. SGS Std for type. Cap 9 rounds
Navy mod. Gauss	PROFICIENCY:WEAPON|Gauss Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.4mm.TL13	CONTAINS:*1|H_M_Mag_4mm=1	COST:3000	WT:1.25	CRITMULT:x3	CRITRANGE:1	DAMAGE:1d12		RANGE:80	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:4mm Gauss Pistol Imperial Arms Long Barrel. Otherwise std
Army mod. Gauss	PROFICIENCY:WEAPON|Gauss Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.4mm.TL13	CONTAINS:*1|H_M_Mag_4mm=1	COST:2500	WT:1.25	CRITMULT:x3	CRITRANGE:1	DAMAGE:1d12		RANGE:80	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:4mm Gauss Pistol Imperial Arms Std for type
UltraForce 14	PROFICIENCY:WEAPON|Auto Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.14mm.TL8	CONTAINS:*1|H_M_Mag_14mm=1	COST:1000	WT:1.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12+1	RANGE:65	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:14mm Magnum Auto WTO +1 damage per die. Cap 6
SupremeForce	PROFICIENCY:WEAPON|Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Handgun.18mm.TL6	CONTAINS:*4|H_M_Bul_18mm=4	COST:400	WT:1.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12+2	RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:18mm Magnum Rev. WTO +2 damage/die, Cap 4 rnds


###Block:FIREARMS
# MODERN FIREARMS
# SPECIFIC RIFLES
# Equipment Name	Required Weapon Proficiency		Type											Contains					Cost		Weight	Crit Mult	Crit Range	Damage	Modifier			Range		Size		Source Page							Special Property
7mm Woodsman	PROFICIENCY:WEAPON|Rifle		TYPE:Weapon.Ranged.Specific.Piercing.Container.Rifle.7mm.TL5	CONTAINS:*1|R_STD_M_Mag_7mm=1		COST:200	WT:4		CRITMULT:x3	CRITRANGE:1	DAMAGE:1d12	EQMOD:SCOPESTD		RANGE:72	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:7mm S Rifle ID 15-shot magazine
10mm Hunter		PROFICIENCY:WEAPON|Hunting Rifle	TYPE:Weapon.Ranged.Specific.Piercing.Container.Rifle.10mm.TL6	CONTAINS:*1|R_HUN_M_Bul_10mm=1	COST:1000	WT:7		CRITMULT:x2	CRITRANGE:1	DAMAGE:2d8	EQMOD:SCOPESTD		RANGE:96	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Hunting Rifle ID 2 barrels; single shot
Mk 24 Bullpup	PROFICIENCY:WEAPON|Carbine		TYPE:Weapon.Ranged.Specific.Piercing.Container.Rifle.7mm.TL5	CONTAINS:*1|R_CAR_M_Mag_7mm=1		COST:200	WT:3		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10					RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:7mm S Carbine Instellarms 20-round magazine,
Combateer		PROFICIENCY:WEAPON|Assault Rifle	TYPE:Weapon.Ranged.Specific.Piercing.Container.Rifle.5mm.TL7	CONTAINS:*1|R_ASS_M_Mag_5mm=1		COST:300	WT:3		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12	EQMOD:SCOPESTD		RANGE:45	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:5mm B(4), F Assault Rifle SGS 30-round magazine
M856 Light ACR	PROFICIENCY:WEAPON|Light ACR		TYPE:Weapon.Ranged.Specific.Piercing.Container.Rifle.7mm.TL10	CONTAINS:*1|R_ACR_M_Mag_7mm=1		COST:1000	WT:3.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12	EQMOD:HUD.SCOPEELEOPT	RANGE:72	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:7mm B(4), F Light ACR Imperial Arms 50-round magazine
Survival Folder	PROFICIENCY:WEAPON|Survival Rifle	TYPE:Weapon.Ranged.Specific.Piercing.Container.Rifle.5mm.TL6	CONTAINS:*1|R_SUR_M_Bul_5mm=1		COST:50	WT:2		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d6	EQMOD:SCOPESTD		RANGE:25	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:5mm Survival Rifle GoG 2 barrels; single shot
# Fire mode codes show which modes of operation are available to the weapon:
# S: Semi-auto
# B (n): Burst (n rounds)
# F: Full-auto


###Block:FIREARMS
# MODERN FIREARMS
# SPECIFIC SUBMACHINEGUNS (SMGS)
# Equipment Name	Required Weapon Proficiency		Type												Contains				Cost		Weight	Crit Mult	Crit Range	Damage	Modifier		Range		Size		Source Page							Special Property
Ravager		PROFICIENCY:WEAPON|Assault Pistol	TYPE:Weapon.Ranged.Specific.Piercing.Container.Machine Gun.8mm.TL5	CONTAINS:*1|M_M_Mag_8mm=1	COST:750	WT:1		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:24	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:8mm S, F Assault Pistol ZK Cap 15 rounds
Urban Bandit	PROFICIENCY:WEAPON|SMG			TYPE:Weapon.Ranged.Specific.Piercing.Container.Machine Gun.10mm.TL5	CONTAINS:*1|M_M_Mag_10mm=1	COST:500	WT:2.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm S, B(6), F SMG ZK Cap 30 rounds
Mini Bandit		PROFICIENCY:WEAPON|SMG			TYPE:Weapon.Ranged.Specific.Piercing.Container.Machine Gun.10mm.TL5	CONTAINS:*1|M_M_Mag_10mm=1	COST:600	WT:2.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm S, B(6), F SMG ZK Cap 20 rounds
Crewman 10mm	PROFICIENCY:WEAPON|SMG			TYPE:Weapon.Ranged.Specific.Piercing.Container.Machine Gun.10mm.TL5	CONTAINS:*1|M_M_Mag_10mm=1	COST:550	WT:2.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm S, B(6) SMG Instellarms Cap 25 rounds
Assault M990	PROFICIENCY:WEAPON|SMG			TYPE:Weapon.Ranged.Specific.Piercing.Container.Machine Gun.10mm.TL5	CONTAINS:*1|M_M_Mag_10mm=1	COST:750	WT:2.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:45	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm S, F SMG CA Cap 35 rounds
# Fire mode codes show which modes of operation are available to the weapon:
# S: Semi-auto
# B (n): Burst (n rounds)
# F: Full-auto


###Block:FIREARMS
# MODERN FIREARMS
# SPECIFIC SHOTGUNS
# Equipment Name	Required Weapon Proficiency		Type													Contains					Cost		Weight	Crit Mult	Crit Range	Damage	Modifier		Range		Size		Source Page							Special Property
Double-12		PROFICIENCY:WEAPON|Sporting Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Cartridge.TL5		CONTAINS:*1|S_M_Cart=1			COST:150	WT:3		CRITMULT:x2	CRITRANGE:1	DAMAGE:3d6				RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Sporting Shotgun WTO Standard for type Fires Buckshot.Up to 3m 3d6 damage, up to 6m 2d6 damage and 1d6 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
Sawnoff		PROFICIENCY:WEAPON|Sawn off Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Cartridge.TL5		CONTAINS:*2|S_M_Cart=2			COST:150	WT:2		CRITMULT:x2	CRITRANGE:1	DAMAGE:3d6				RANGE:2	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Sawnoff Shotgun Standard for type Fires Buckshot.Up to 3m 3d6 damage, up to 6m 2d6 damage and 1d6 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
Buckshot 12		PROFICIENCY:WEAPON|Sawn off Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Cartridge.TL5		CONTAINS:*2|S_M_Cart=2			COST:200	WT:2		CRITMULT:x2	CRITRANGE:1	DAMAGE:3d6	EQMOD:LAS_DOT	RANGE:2	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Sawnoff Shotgun ZK Custom built; integral laser pointer Fires Buckshot.Up to 3m 3d6 damage, up to 6m 2d6 damage and 1d6 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
Patrol 6		PROFICIENCY:WEAPON|Combat Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Cartridge.TL6		CONTAINS:*6|S_M_Cart=6			COST:200	WT:3.75	CRITMULT:x2	CRITRANGE:1	DAMAGE:3d6				RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Combat Shotgun GoG Standard Law enforcement wpn Fires Buckshot.Up to 3m 3d6 damage, up to 6m 2d6 damage and 1d6 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
Security 8		PROFICIENCY:WEAPON|Combat Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Cartridge.TL6		CONTAINS:*8|S_M_Cart=8			COST:250	WT:3.75	CRITMULT:x2	CRITRANGE:1	DAMAGE:3d6				RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Combat Shotgun GoG Bulky extended 8-shot magazine Fires Buckshot.Up to 3m 3d6 damage, up to 6m 2d6 damage and 1d6 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
GateKeeper		PROFICIENCY:WEAPON|Combat Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Cartridge.TL6		CONTAINS:*4|S_M_Cart=4			COST:200	WT:3.75	CRITMULT:x2	CRITRANGE:1	DAMAGE:3d6				RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Combat Shotgun SGS Very short: 4-shot magazine. Fires Buckshot.Up to 3m 3d6 damage, up to 6m 2d6 damage and 1d6 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
ManReaper		PROFICIENCY:WEAPON|Military Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Mil Cartridge.TL8	CONTAINS:*1|S_M_Mag_MIL_Cart=1	COST:1500	WT:5		CRITMULT:x2	CRITRANGE:1	DAMAGE:3d8	EQMOD:HUD.LAS_DOT	RANGE:7	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Military Shotgun ID 12-shot magazine Fires Buckshot.Up to 3m 3d8 damage, up to 6m 2d8 damage and 1d8 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
Model 22A		PROFICIENCY:WEAPON|Military Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Mil Cartridge.TL8	CONTAINS:*1|S_M_Mag_MIL_Cart=1	COST:1300	WT:5		CRITMULT:x2	CRITRANGE:1	DAMAGE:3d8	EQMOD:HUD.LAS_DOT	RANGE:7	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Military Shotgun Instellarms 10-round magazine Fires Buckshot.Up to 3m 3d8 damage, up to 6m 2d8 damage and 1d8 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)
M889CAW		PROFICIENCY:WEAPON|Assault Shotgun	TYPE:Weapon.Ranged.Specific.Piercing.Container.Shotgun.Ass Cartridge.TL7	CONTAINS:*1|S_M_Mag_ASS_Cart=1	COST:750	WT:4.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:3d6	EQMOD:HUD.LAS_DOT	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Assault Shotgun CA 20-round drum Fires Buckshot.Up to 3m 3d6 damage, up to 6m 2d6 damage and 1d6 in a 2 meter wide path 6m to maximum range. -2 PV (an additional -1 PV per range band after the first in addition to normal range penalties)


###Block:FIREARMS
# MODERN FIREARMS
# LOW-G WEAPONS
# SPECIFIC LOW-G WEAPONS
# Equipment Name	Required Weapon Proficiency			Type													Contains					Cost		Weight	Crit Mult	Crit Range	Damage	Modifier		Range		Size		Source Page							Special Property
Pocket Snub		PROFICIENCY:WEAPON|Snub Derringer		TYPE:Weapon.Ranged.Specific.Piercing.Container.Low-G.Handgun.18mm.TL8		CONTAINS:*2|H_M_Bul_18mm=2		COST:200	WT:0.2	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:8	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:18mm Snub Derringer Close Quarters 2 barrels
Snub Revolver	PROFICIENCY:WEAPON|Snub Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Low-G.Handgun.10mm.TL8		CONTAINS:*6|H_M_Bul_10mm=6		COST:150	WT:0.25	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:18	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm Snub Revolver EnviroCombat Cap 6 rounds
Bulkheader		PROFICIENCY:WEAPON|Snub Revolver		TYPE:Weapon.Ranged.Specific.Piercing.Container.Low-G.Handgun.18mm.TL8		CONTAINS:*6|H_M_Bul_18mm=6		COST:100	WT:0.25	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:18	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:18mm Snub Revolver ZK Cheap version; cap 6 rounds
Combat Snub		PROFICIENCY:WEAPON|Snub Autopistol		TYPE:Weapon.Ranged.Specific.Piercing.Container.Low-G.Handgun.18mm.TL9		CONTAINS:*1|H_M_Mag_18mm=1		COST:250	WT:0.8	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:29	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:18mm Snub Autopistol EnviroCombat Cap 20 rounds
Snub SMG		PROFICIENCY:WEAPON|Snub SMG			TYPE:Weapon.Ranged.Specific.Piercing.Container.Low-G.Machine Gun.18mm.TL8	CONTAINS:*1|M_SNU_M_Mag_18mm=1	COST:400	WT:2		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	EQMOD:LAS_DOT	RANGE:24	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:10mm S, B(4), F Snub SMG EnviroCombat cap 25 rounds
EnviroRifle		PROFICIENCY:WEAPON|Accelerator Rifle	TYPE:Weapon.Ranged.Specific.Piercing.Container.Low-G.Rifle.12mm.TL9		CONTAINS:*1|R_ACC_M_Mag_12mm=1	COST:900	WT:2.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d12	EQMOD:SCOPESTD	RANGE:60	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:12mm S, B(3) Accelerator Rifle EnvroCombat Cap 30 rounds


###Block:FIREARMS
# MODERN FIREARMS
# SPECIFIC DISCHARGERS
# Equipment Name	Required Weapon Proficiency		Type									Contains				Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page							Special Property
Thud Gun		PROFICIENCY:WEAPON|Thud Gun		TYPE:Weapon.Ranged.Specific.Container.Bludgeoning.TL8	CONTAINS:*1|BatonRnd=1		COST:100	WT:1		CRITMULT:x2	CRITRANGE:1	DAMAGE:2d8	RANGE:8	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:25mm Baton Gun GoG Single-Shot
Riot Cannon		PROFICIENCY:WEAPON|Riot Cannon	TYPE:Weapon.Ranged.Specific.Piercing.Container.TL8	CONTAINS:*1|Mag_BatonRnd=1	COST:300	WT:1		CRITMULT:x2	CRITRANGE:1	DAMAGE:3d8	RANGE:4	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:30mm Discharger Portculli Single-Shot


