# CVS $Revision: $ $Author: $ -- Fri Sep  5 11:40:25 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Traveller's Aid 1 Personal Weapons	SOURCESHORT:TA1	SOURCEWEB:http://www.rpgrealms.com

###Block:Melee Weapons
# BLUNT, IMPROVISED AND PRIMITIVE WEAPONS
# Equipment Name	Required Weapon Proficiency	Type							Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Damage		Range		Size		Source Page							Special Property
#Cudgel		PROFICIENCY:WEAPON|Cudgel	TYPE:Weapon.Ranged.Melee.Bludgeoning.TL0	COST:10	WT:1		CRITMULT:x2			CRITRANGE:1			DAMAGE:1d6		RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
# Equipment Name	Required Weapon Proficiency	Type							Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page							Special Property
# Equipment Name	Required Weapon Proficiency	Type							Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page
Stealth Dagger	PROFICIENCY:WEAPON|Dagger	TYPE:Weapon.Ranged.Melee.Piercing.TL9	COST:250	WT:0.25	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d4	RANGE:1	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Blade			PROFICIENCY:WEAPON|Blade	TYPE:Weapon.Melee.Piercing.TL3		COST:50	WT:.35	CRITMULT:x2			CRITRANGE:2			DAMAGE:1d6	RANGE:1	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Foil			PROFICIENCY:WEAPON|Foil		TYPE:Weapon.Melee.Piercing.TL3		COST:100	WT:.5		CRITMULT:x2			CRITRANGE:2			DAMAGE:1d4	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Navy Foil		PROFICIENCY:WEAPON|Foil		TYPE:Weapon.Melee.Slashing.TL3		COST:150	WT:0.5	CRITMULT:x2	CRITRANGE:1	DAMAGE:1d4	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Sword			PROFICIENCY:WEAPON|Sword	TYPE:Weapon.Melee.Piercing.Slashing.TL1	COST:150	WT:1		CRITMULT:x2			CRITRANGE:1			DAMAGE:1d8	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Cutlass		PROFICIENCY:WEAPON|Cutlass	TYPE:Weapon.Melee.Slashing.TL3		COST:100	WT:1.25	CRITMULT:x2			CRITRANGE:3			DAMAGE:1d8	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Broadsword		PROFICIENCY:WEAPON|Broadsword	TYPE:Weapon.Melee.Slashing.TL2		COST:300	WT:2.5	CRITMULT:x2			CRITRANGE:2			DAMAGE:2d6	RANGE:2	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons


###Block:Melee Weapons
# SPEARS AND PIKES
# Equipment Name		Required Weapon Proficiency	Type							Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page
Light (Short) Spear	PROFICIENCY:WEAPON|Spear	TYPE:Weapon.Ranged.Melee.Piercing.TL0	COST:10	WT:2		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d8	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Heavy (Long) Spear	PROFICIENCY:WEAPON|Spear	TYPE:Weapon.Melee.Piercing.TL0		COST:10	WT:2		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d10	RANGE:3	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Bayonet			PROFICIENCY:WEAPON|Bayonet	TYPE:Weapon.Melee.Piercing.TL3		COST:10	WT:.25	CRITMULT:x2			CRITRANGE:1			DAMAGE:1d8	RANGE:1	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Pike				PROFICIENCY:WEAPON|Pike		TYPE:Weapon.Melee.Piercing.TL1		COST:40	WT:2.5	CRITMULT:x2			CRITRANGE:1			DAMAGE:1d12	RANGE:3	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons


###Block:Melee Weapons
# POLEARMS AND OTHER HEAVY MELEE WEAPONS
# Equipment Name		Required Weapon Proficiency	Type							Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page
Halberd (Simple)		PROFICIENCY:WEAPON|Halberd	TYPE:Weapon.Melee.Piercing.Slashing.TL2	COST:50	WT:2.5	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	RANGE:3	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Halberd (Complex)		PROFICIENCY:WEAPON|Halberd	TYPE:Weapon.Melee.Piercing.Slashing.TL2	COST:75	WT:2.5	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	RANGE:3	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Boarding Axe		PROFICIENCY:WEAPON|Battle Axe	TYPE:Weapon.Melee.Piercing.Slashing.TL8	COST:100	WT:1	CRITMULT:x2			CRITRANGE:2			DAMAGE:1d10	RANGE:3	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Boarding Axe (Spade)	PROFICIENCY:WEAPON|Battle Axe	TYPE:Weapon.Melee.Piercing.Slashing.TL8	COST:125	WT:1		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	RANGE:3	SIZE:L	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Hatchet			PROFICIENCY:WEAPON|Hatchet	TYPE:Weapon.Ranged.Melee.Slashing.TL1	COST:25	WT:0.5	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6	RANGE:3	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Battle Axe			PROFICIENCY:WEAPON|Battle Axe	TYPE:Weapon.Melee.Slashing.TL1		COST:40	WT:1		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d8	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Mace				PROFICIENCY:WEAPON|Mace		TYPE:Weapon.Melee.Bludgeoning.TL1		COST:30	WT:1		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6	RANGE:3	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Great Mace			PROFICIENCY:WEAPON|Mace		TYPE:Weapon.Melee.Bludgeoning.TL1		COST:50	WT:2		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d8	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
War Flail			PROFICIENCY:WEAPON|Flail	TYPE:Weapon.Melee.Bludgeoning.TL2		COST:50	WT:1		CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Great War Flail		PROFICIENCY:WEAPON|Flail	TYPE:Weapon.Melee.Bludgeoning.TL1		COST:100	WT:2.5	CRITMULT:x2	CRITRANGE:2	DAMAGE:2d6	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Morningstar Flail		PROFICIENCY:WEAPON|Flail	TYPE:Weapon.Melee.Bludgeoning.TL1		COST:100	WT:2.5	CRITMULT:x2	CRITRANGE:2	DAMAGE:2d6	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
Nunchaku			PROFICIENCY:WEAPON|Flail	TYPE:Weapon.Melee.Bludgeoning.TL1		COST:20	WT:0.5	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6	RANGE:3	SIZE:M	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons
#Stealth Nunchaku		PROFICIENCY:WEAPON|Flail	TYPE:Weapon.Melee.Bludgeoning.TL12		COST:100	WT:.5		CRITMULT:x2			CRITRANGE:2			DAMAGE:1d6	RANGE:3	SIZE:S	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Stealth Factor 4


###Block:Melee Weapons
# OTHER MELEE WEAPONS
# Equipment Name	Required Weapon Proficiency		Type						Cost		Weight	Crit Mult	Crit Range	Damage	Range		Size		Source Page							Special Property
Brass Knuckles	PROFICIENCY:WEAPON|Brass Knuckles	TYPE:Weapon.Melee.Bludgeoning.TL1	COST:10	WT:0.01	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d4	RANGE:1	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Brawling damage
Handspikes		PROFICIENCY:WEAPON|Handspikes		TYPE:Weapon.Melee.Bludgeoning.TL1	COST:10	WT:0.01	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d4	RANGE:1	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Brawling damage
#Stunfist		PROFICIENCY:WEAPON|Stunfist		TYPE:Weapon.Melee.Bludgeoning.TL9	COST:100	WT:.01	CRITMULT:x2			CRITRANGE:2			DAMAGE:1d4+1d6	RANGE:1	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:Brawling damage plus 1d6 stun
#Handmine		PROFICIENCY:WEAPON|Handmine		TYPE:Weapon.Melee.Bludgeoning.TL9	COST:200	WT:.01	CRITMULT:x2			CRITRANGE:2			DAMAGE:1d10		RANGE:1	SIZE:T	SOURCEPAGE:Traveller's Aid 1 - Personal Weapons	SPROP:??
