#
# Dragon Magazine 358 feats
#
SOURCELONG:Dragon Magazine 358	SOURCESHORT:DM358

Artisan Craftsman (Armorsmithing)	CATEGORY:Feat	TYPE:General	VISIBLE:YES		PRESKILL:1,Craft (Armorsmithing)=4		BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|1	BONUS:ABILITYPOOL|Artisan Craftsman Item Quality|(var("SKILLRANK=Craft {Armorsmithing}")/5)
Ornate (Weapon)			KEY:Artisan Craftsman ~ Ornate (Weapon)		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Ornate weapons grants a +2 circumstance bonus to Diplomacy or Intimidation checks.
Perfect Balance			KEY:Artisan Craftsman ~ Perfect Balance		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Perfect balance melee weapons grant its wielder a +1 bonus to AC when taking the total defense action.
Razor Sharp				KEY:Artisan Craftsman ~ Razor Sharp			CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Razor sharp bladed weapons deal an extra +1 damage.
Reinforced				KEY:Artisan Craftsman ~ Reinforced			CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Reinforced armor grants an AC increase +1 and adds 10%% or 2 pounds of weight.
Resilient (Armor)		KEY:Artisan Craftsman ~ Resilient (Armor)	CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Resilient armor increases item HP +5.
Resilient (Weapon)		KEY:Artisan Craftsman ~ Resilient (Weapon)	CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Resilient weapons increases item HP +5.
Segmented				KEY:Artisan Craftsman ~ Segmented			CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Segmented armor increases maximum Dexterity bonus +1.
Serrated				KEY:Artisan Craftsman ~ Serrated			CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Weaponsmithing)	DESC:Serrated weapons deal an additional +1 damage for 1d4 rounds.
Vital Coverage			KEY:Artisan Craftsman ~ Vital Coverage		CATEGORY:Special Ability	TYPE:Feats.SpecialQuality.ArtisanCraftsmanItemQuality		MULT:NO		PREABILITY:1,CATEGORY=FEAT,Artisan Craftman (Armorsmithing)		DESC:Vital coverage armor adds +2 armor bonus against attack rolls made to confirm a critical hit.
			
