
ABILITYCATEGORY:Background	CATEGORY:Special Ability	TYPE:Background	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class
ABILITYCATEGORY:Circle Mage Selection Elf		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Circle Mage Elf
ABILITYCATEGORY:Circle Mage Selection Human	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Circle Mage Human

ABILITYCATEGORY:City Elf Focus			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	ABILITYLIST:Focus ~ Dexterity (Stealth)|Focus ~ Perception (Seeing)
ABILITYCATEGORY:City Elf Selection			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:City Elf Selection

ABILITYCATEGORY:Dalish Elf Focus			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	ABILITYLIST:Focus ~ Dexterity (Bows)|Focus ~ Willpower (Courage)
ABILITYCATEGORY:Dalish Elf Selection		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Dalish Elf Selection

ABILITYCATEGORY:Fereldan Freeman Focus			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	ABILITYLIST:Focus ~ Constitution (Stamina)|Focus ~ Willpower (Courage)
ABILITYCATEGORY:Fereldan Freeman Selection		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Fereldan Freeman Selection

ABILITYCATEGORY:Surface Dwarf Focus			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	ABILITYLIST:Focus ~ Constitution (Stamina)|Focus ~ Communication (Bargaining)
ABILITYCATEGORY:Surface Dwarf Selection		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Surface Dwarf Selection


# Class Talent
ABILITYCATEGORY:Mage Talent		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Mage
ABILITYCATEGORY:Rogue Talent		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Rogue
ABILITYCATEGORY:Warrior Talent	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Warrior

# Class Powers
ABILITYCATEGORY:Mage Primary Ability		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:AbilityCunning.AbilityMagic.AbilityWillpower
ABILITYCATEGORY:Mage Secondary Ability		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:AbilityConstitution.AbilityCommunication.AbilityDexterity.AbilityPerception.AbilityStrength
ABILITYCATEGORY:Mage Spell				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:Spell
#
ABILITYCATEGORY:Rogue Primary Ability		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:AbilityCommunication.AbilityDexterity.AbilityPerception
ABILITYCATEGORY:Rogue Secondary Ability		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:AbilityConstitution.AbilityCunning.AbilityMagic.AbilityStrength.AbilityWillpower
#
ABILITYCATEGORY:Warrior Primary Ability		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:AbilityConstitution.AbilityDexterity.AbilityStrength
ABILITYCATEGORY:Warrior Secondary Ability		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	TYPE:AbilityCommunication.AbilityCunning.AbilityMagic.AbilityPerception.AbilityWillpower
#
ABILITYCATEGORY:Warrior Weapon Group		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO	DISPLAYLOCATION:Background & Class		CATEGORY:Special Ability	ABILITYLIST:Weapon Group ~ Axes|Weapon Group ~ Bludgeons|Weapon Group ~ Bows|Weapon Group ~ Brawling|Weapon Group ~ Heavy Blades|Weapon Group ~ Light Blades|Weapon Group ~ Spears|Weapon Group ~ Staves
