# CVS $Revision: $ $Author: $ -- Sun Aug 17 15:41:15 2014 -- reformated by prettylst.pl v1.51 (build 24906)
SOURCELONG:Complete Mage	SOURCESHORT:CM	SOURCEWEB:http://www.wizards.com/default.asp?x=products/dndacc/953847200	SOURCEDATE:2006-10

###Block: Abjurant Champion
# Ability Name		Unique Key							Category of Ability		Type														Description																																																																																											Source Page
Spellcasting			KEY:Eldritch Disciple ~ Spellcasting			CATEGORY:Special Ability	TYPE:Class Feature.Eldritch Disciple Class Feature.SpecialQuality										DESC:At each level beyond 1st, you gain new spells per day and an increase in caster level (and spells known, if applicable) as if you had also gained a level in a divine spellcasting class to which you belonged before adding the prestige class level. You do not, however, gain any other benefit a character of that class would have gained. If you had more than one divine spellcasting class before becoming an eldritch disciple, you must decide to which class to add each level for the purpose of determining spells per day, caster level, and spells known.																																																																																																																																																																																																																																																																			SOURCEPAGE:p.53
Gift of the Divine Patron	KEY:Eldritch Disciple ~ Gift of the Divine Patron	CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Eldritch Disciple Class Feature.SpecialQuality	DEFINE:GiftoftheDivinePatronCount|0	DESC:At 1st level, you gain a sacred gift of power from your divine patron (who is also the source of your cleric spells and, directly or indirectly, your warlock invocations). Choose one of the following abilities at 1st level, and another ability every three levels thereafter (4th, 7th, and 10th level). You can spend one of your turn/rebuke undead attempts as a swift action to activate the chosen power.																																																																																																																																																																																																																																																																											BONUS:ABILITYPOOL|Gift of the Divine Patron|GiftoftheDivinePatronCount					SOURCEPAGE:p.53
#
Corrupting Blast			KEY:Gift of the Divine Patron ~ Corrupting Blast	CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:In place of applying an eldritch essence invocation to your eldritch blast, you can change it into a corrupting blast. In addition to its normal effect, the blast applies a penalty on the target's next Will save equal to 1/2 your class level (minimum -1). If the target doesn't attempt a Will save before the end of your next turn, the effect fades.																																																																																																																																																																																																																																																																																																				SOURCEPAGE:p.53
Damage Reduction			KEY:Gift of the Divine Patron ~ Damage Reduction	CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:You gain temporary damage reduction (overcome by cold iron) equal to 1/2 your class level (minimum l).This damage reduction stacks with the damage reduction granted by the warlock class. This effect lasts for a number of rounds equal to 3 + your Cha modifier (minimum 1 round).																																																																																																																																																																																																																																																																																																																SOURCEPAGE:p.54
Fearful Glare			KEY:Gift of the Divine Patron ~ Fearful Glare		CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:You can render a single living creature within 30 feet of you shaken for 1 round (Will negates; DC 10 + class level + Cha modifier). The creature's HD can't exceed your character level.																																																																																																																																																																																																																																																																																																																																SOURCEPAGE:p.54
Fiendish Resistance		KEY:Gift of the Divine Patron ~ Fiendish Resistance	CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:You gain resistance to acid and fire equal to 10 + your class level. This resistance stacks with the energy resistance granted by the warlock class. This effect lasts for a number of rounds equal to 3 + your Cha modifier (minimum 1 round). Your deity must be evil for you to select this gift.																																																																																																																																																																																																																																																																																																														SOURCEPAGE:p.54
Healing Blast			KEY:Gift of the Divine Patron ~ Healing Blast		CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:In place of applying an eldritch essence invocation to your eldritch blast, you can change it into a healing blast. The blast heals living creatures instead of dealing damage to them (the damage healed is equal to the damage normally dealt). Against undead, the healing blast deals damage as normal; against constructs or objects, the healing blast has no effect. Your deity must be non-evil for you to select this gift.																																																																																																																																																																																																																																																																																									SOURCEPAGE:p.54
Protective Aura			KEY:Gift of the Divine Patron ~ Protective Aura		CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:You surround yourself with a magic circle against evil centered on you. This effect lasts for a number of rounds equal to 3 + your Cha modifier (minimum 1 round). Your deity must be good for you to select this gift.																																																																																																																																																																																																																																																																																																																											SOURCEPAGE:p.54
Strength of Will			KEY:Gift of the Divine Patron ~ Strength of Will	CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:You gain a bonus equal to 1/2 your class level (minimum +l) on your next save to resist a mind-affecting spell or ability. This effect lasts for a number of rounds equal to 3 + your Cha modifier (minimum 1 round); if you haven't attempted an appropriate save in this time, the effect ends.																																																																																																																																																																																																																																																																																																														SOURCEPAGE:p.54
Wild Frenzy				KEY:Gift of the Divine Patron ~ Wild Frenzy		CATEGORY:Special Ability	TYPE:GiftOfTheDivinePatron.SpecialQuality														DESC:You gain a +2 bonus on attack rolls and damage rolls with melee weapons and eldritch blasts, along with temporary hit points equal to twice your class level. This effect lasts for a number of rounds equal to 3 + your Cha modifier (minimum 1 round). Your deity must be chaotic for you to select this gift.																																																																																																																																																																																																																																																																																																												SOURCEPAGE:p.54
#
Turn/Rebuke Undead		KEY:Eldritch Disciple ~ Turn/Rebuke Undead		CATEGORY:Special Ability	TYPE:Class Feature.Eldritch Disciple Class Feature.SpecialQuality										DESC:Your eldritch disciple level stacks with your other class levels for the purpose of determining your ability to turn or rebuke undead.																																																																																																																																																																																																																																																																																																																																								SOURCEPAGE:p.54
Eldritch Spellweave		KEY:Eldritch Disciple ~ Eldritch Spellweave		CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Eldritch Disciple Class Feature.SpecialQuality							DESC:Beginning at 5th level, you can apply an eldritch essence invocation you know (other than greatreach blast or spellblast; see the eldritch theurge class features on page 57) to any divine spell that affects a target or that requires a melee or ranged touch attack. The spell's level must be at least as high as the level of the eldritch essence (for example, you can apply hellrime blast only to a spell of 4th level or higher). If the essence requires a saving throw, use the normal save DC for that essence. If an eldritch essence invocation changes the damage of the spell, it can be applied only to a spell that deals damage (you can't add brimstone blast to dimensional anchor, for example). Using this ability increases the spell's casting time to 1 full-round action. A spell that has a normal casting time of 1 full round or longer takes an extra full-round action to cast. If the spell has more than one target or allows more than one attack, you must choose one target to be affected by the invocation; all other targets take only the normal effect of the spell. You can use this ability a number of times per day equal to 3 + your Cha modifier (minimum 1).																																																																																																																																																												SOURCEPAGE:p.54
Timeless Body			KEY:Eldritch Disciple ~ Timeless Body			CATEGORY:Special Ability	TYPE:Extraordinary.Class Feature.Eldritch Disciple Class Feature.SpecialQuality							DESC:Beginning at 10th level, the divine power of your patron infuses you with eternal vigor. You no longer age (PH 37).																																																																																																																																																																																																																																																																																																																																											SOURCEPAGE:p.54

# Eldritch Theurge
Spellcasting			KEY:Eldritch Theurge ~ Spellcasting				CATEGORY:Special Ability	TYPE:Class Feature.Eldritch Theurge Class Feature.SpecialQuality										DESC:At each level, you gain new spells per day and an increase in caster level (and spells known, if applicable) as if you had also gained a level in an arcane spellcasting class (but not an invocation-using class) to which you belonged before adding the prestige class level. You do not, however, gain any other benefit a character of that class would have gained. If you had more than one arcane spellcasting class before becoming an eldritch theurge, you must decide to which class to add each level for the purpose of determining spells per day, caster level, and spells known.																																																																																																																																																																																																																																																														SOURCEPAGE:p.57
Invocations				KEY:Eldritch Theurge ~ Invocations				CATEGORY:Special Ability	TYPE:Class Feature.Eldritch Theurge Class Feature.SpecialQuality										DESC:At each level, you gain new invocations known and an increase in caster level as if you had also gained a level in an invocation-using class to which you belonged before adding the prestige class level. (This includes eldritch blast) You do not, however, gain any other benefit a character of that class would have gained. If you had more than one invocation-using class before becoming an eldritch theurge, you must decide to which class to add each level for the purpose of determining caster level and invocations known.																																																																																																																																																																																																																																																																							SOURCEPAGE:p.57
Damage Reduction			KEY:Eldritch Theurge ~ Damage Reduction			CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Eldritch Theurge Class Feature.SpecialQuality		DEFINE:DRColdIron|0			DESC:Fortified by the supernatural power flowing through your body, you become resistant to physical attacks. You gain damage reduction l/cold iron at 1st level; this stacks with damage reduction gained from other sources. Your damage reduction improves to 2/cold iron at 4th level, to 3/cold iron at 7th level, and to 4/cold iron at 10th level.																																																																																																																																																																																																																																																																																																		DR:DRColdIron/cold iron	SOURCEPAGE:p.57
Fiendish Resilience		KEY:Eldritch Theurge ~ Fiendish Resilience		CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Eldritch Theurge Class Feature.SpecialQuality		DEFINE:FiendishResilienceBonus|0	DESC:Beginning at 2nd level, you know the trick of fiendish resilience. Once per day, as a free action, you can enter an elevated physical state that lasts for 2 minutes. While in this state, you gain fast healing 1. At 9th level, your fiendish resilience improves; while in your fiendish resilience state, you gain fast healing 2 instead. This ability stacks with fiendish resilience granted by any other source.																																																																																																																																																																																																																																																																																											SOURCEPAGE:p.57	ASPECT:NAME|Fiendish Resilience %1|FiendishResilienceBonus
Spellblast				KEY:Eldritch Theurge ~ Spellblast				CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Eldritch Theurge Class Feature.SpecialQuality								DESC:This invocation (Lesser; 4th; Eldritch Essence), learned at 3rd level, allows you to place an arcane spell that affects an area upon your eldritch blast. If the eldritch blast hits its target, the spell's area is centered on any corner of the target's space, even if the spell could normally be centered only on the caster. If the eldritch blast misses its target, the spell is lost with no effect. It takes a full-round action to cast the spell and fire the eldritch blast. Only an area spell with a casting time no greater than 1 standard action can be placed upon your eldritch blast. Only the first target of your eldritch blast is affected by the spell (for example, an eldritch chain spellblast centers the spell on the initial target, not on any of the secondary targets). If your eldritch blast doesn't specify a target, you can't apply this invocation to the blast. Treat spellblast as a spell whose level is equal to the area spell placed upon the eldritch blast (minimum 4th level).																																																																																																																																																																																									SOURCEPAGE:p.57
Eldritch Spellweave		KEY:Eldritch Theurge ~ Eldritch Spellweave		CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Eldritch Theurge Class Feature.SpecialQuality								DESC:Beginning at 5th level, you can apply an eldritch essence invocation you know (other than greatreach blast or spellblast) to any arcane spell that affects a target or that requires a melee or ranged touch attack. The spell's level must be at least as high as the level of the eldritch essence (for example, you can apply hellrime blast only to a spell of 4th level or higher). If the essence requires a saving throw, use the normal save DC for that essence. If an eldritch essence invocation changes the damage of the spell, it can be applied only to a spell that deals damage (you can't add brimstone blast to charm monster). Using this ability increases the spell's casting time to 1 fullround action. A spell that has a normal casting time of 1 full round or longer takes an extra full-round action to cast. If the spell has more than one target or allows more than one attack, you choose one target to be affected by the invocation; all other targets take only the normal effect of the spell. You can use this ability a number of times per day equal to 3 + your Cha modifier (minimum 1).																																																																																																																																																																									SOURCEPAGE:p.57
Greatreach Blast			KEY:Eldritch Theurge ~ Greatreach Blast			CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Eldritch Theurge Class Feature.SpecialQuality								DESC:This invocation (Greater; 5th; Eldritch Essence) allows you to place an arcane spell with a range of touch upon your eldritch blast. If the eldritch blast hits its target, the spell takes effect on that target as if you had touched it. If the eldritch blast misses its target, the spell is lost with no effect. It takes a full-round action to cast the spell and fire the eldritch blast. Only a touch spell with a casting time no greater than 1 standard action can be placed upon your eldritch blast. Only the first target of your eldritch blast is affected by the spell (for example, an eldritch greatreach chain delivers the touch spell on the initial target, not on any of the secondary targets). If your eldritch blast doesn't specify a target, you can't apply this invocation to the blast. Treat greatreach blast as a spell whose level is equal to the touch spell placed upon the eldritch blast (minimum 5th level).																																																																																																																																																																																																					SOURCEPAGE:p.58

# Enlightened Spirit
Aura of Courage			KEY:Enlightened Spirit ~ Aura of Courage			CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Enlightened Spirit Class Feature.SpecialQuality							DESC:You are immune to fear, and each ally within 10 feet of you gains a +4 morale bonus on saving throws against fear effects (PH 44).																																																																																																																																																																																																																																																																																																																																									SOURCEPAGE:p.61
Aura of Menace			KEY:Enlightened Spirit ~ Aura of Menace			CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Enlightened Spirit Class Feature.SpecialQuality							DESC:A righteous aura surrounds you whenever you fight or get angry. Any hostile creature within a 5-foot radius of you takes a -2 penalty on attacks, AC, and saves for 24 hours or until it successfully hits you. A creature that has resisted or broken the effect can't be affected again by your aura for 24 hours.																																																																																																																																																																																																																																																																																																											SOURCEPAGE:p.61
Spirit Blast			KEY:Enlightened Spirit ~ Spirit Blast			CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Enlightened Spirit Class Feature.SpecialQuality								DESC:This invocation (Lesser; 4th; Eldritch Essence) allows you to change your eldritch blast into a spirit blast. The blast deals an extra 1 point of damage per die to undead. Your spirit blast also affects incorporeal creatures without the normal miss chance.																																																																																																																																																																																																																																																																																																																				SOURCEPAGE:p.61
Eldritch Blast			KEY:Enlightened Spirit ~ Eldritch Blast			CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Enlightened Spirit Class Feature.SpecialQuality								DESC:At 2nd level and every even-numbered level thereafter, the damage of your eldritch blast improves by ld6 points.																																																																																																																																																																																																																																																																																																																																												SOURCEPAGE:p.61
Spirit Armor			KEY:Enlightened Spirit ~ Spirit Armor			CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Enlightened Spirit Class Feature.SpecialQuality							DESC:Beginning at 2nd level, you gain a +1 sacred bonus to Armor Class. The bonus improves to +2 at 6th level and +3 at 10th level.																																																																																																																																																																																																																																																																																																																																										SOURCEPAGE:p.61
Celestial Flight			KEY:Enlightened Spirit ~ Celestial Flight			CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Enlightened Spirit Class Feature.SpecialQuality								DESC:At 3rd level, you gain the celestial flight invocation (Lesser; 3rd). The powers of light bear you aloft as you sprout shimmering spirit wings. You can fly at a speed equal to your land speed with good maneuverability for 24 hours.																																																																																																																																																																																																																																																																																																																								SOURCEPAGE:p.61
Tongues				KEY:Enlightened Spirit ~ Tongues				CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Enlightened Spirit Class Feature.SpecialQuality							DESC:Beginning at 4th level, you can speak any language. This ability works as the tongues spell does, except that it is continuously active. You can suppress or resume the effect as a free action.																																																																																																																																																																																																																																																																																																																															SOURCEPAGE:p.61
Shape Invocation			KEY:Enlightened Spirit ~ Shape Invocation			CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Enlightened Spirit Class Feature.SpecialQuality								DESC:At 5th level, you learn any one least, lesser, or greater blast shape invocation.																																																																																																																																																																																																																																																																																																																																																	SOURCEPAGE:p.61
Energy Resistance 5		KEY:Enlightened Spirit ~ Energy Resistance		CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Enlightened Spirit Class Feature.SpecialQuality							DESC:At 5th level, you gain resistance 5 to any two of the following energy types: acid, cold, electricity, and fire.																																																																																																																																																																																																																																																																																																																																												SOURCEPAGE:p.62
Holy Blast				KEY:Enlightened Spirit ~ Holy Blast				CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Enlightened Spirit Class Feature.SpecialQuality								DESC:At 7th level, you gain an invocation (Greater; 6th; Eldritch Essence) that allows you to change your eldritch blast into a holy blast. The blast deals an extra 1 point of damage per die to evil outsiders. The blast also affects any evil outsider as if you had cast a dimensional anchor spell on it.																																																																																																																																																																																																																																																																																																													SOURCEPAGE:p.62
Transform Magic			KEY:Enlightened Spirit ~ Transform Magic			CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Enlightened Spirit Class Feature.SpecialQuality								DESC:Gained at 9th level, this invocation (Greater; 6th) allows you to deliver a targeted greater dispel magic with your touch. You or any ally within 30 feet of you can heal 5 points of damage for each spell level dispelled by this touch (the spell level is determined by its caster's class). For example, if you successfully dispel a wall of ice, you or an ally can heal up to 20 points of damage. You can't transform your own invocations.																																																																																																																																																																																																																																																																																						SOURCEPAGE:p.62
Death Ward				KEY:Enlightened Spirit ~ Death Ward				CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Enlightened Spirit Class Feature.SpecialQuality							DESC:At 10th level, you become immune to death spells, magical death effects, energy drain, and negative energy effects as the death ward spell.																																																																																																																																																																																																																																																																																																																																							SOURCEPAGE:p.62

# Holy Scourge
Spellcasting			KEY:Holy Scourge ~ Spellcasting				CATEGORY:Special Ability	TYPE:Class Feature.Holy Scourge Class Feature.SpecialQuality										DESC:At each level beyond 1st, you gain new spells per day and an increase in caster level (and spells known, if applicable) as if you had also gained a level in a spellcasting class to which you belonged before adding the prestige class level. You do not, however, gain any other benefit a character of that class would have gained. If you had more than one spellcasting class before becoming a holy scourge, you must decide to which class to add each level for the purpose of determining spells per day, caster level, and spells known.																																																																																																																																																																																																																																																																						SOURCEPAGE:p.64
Code of Conduct			KEY:Holy Scourge ~ Code of Conduct				CATEGORY:Special Ability	TYPE:Class Feature.Holy Scourge Class Feature.SpecialQuality										DESC:You must devote yourself to the destruction of evil, particularly those who use evil magic and innately evil creatures. You must not resort to evil methods to achieve these goals. You might briefly ignore a lesser evil for the sake of defeating a greater one, but otherwise you must make every reasonable effort to obliterate evil wherever you find it. Should you ever violate this code or step outside the boundaries of what is considered acceptable good-aligned behavior, you lose your holy scourge class features.																																																																																																																																																																																																																																																																									SOURCEPAGE:p.64
Dedicated Spellcaster		KEY:Holy Scourge ~ Dedicated Spellcaster			CATEGORY:Special Ability	TYPE:Extraordinary.Class Feature.Holy Scourge Class Feature.SpecialQuality								DESC:You gain a +1 bonus to your caster level when casting good spells. You may not cast evil spells.																																																																																																																																																																																																																																																																																																																																															SOURCEPAGE:p.64
Righteous Evocation		KEY:Holy Scourge ~ Righteous Evocation			CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Holy Scourge Class Feature.SpecialQuality								DESC:Your evocation spells are infused with a small amount of good-aligned divine energy. Against evil creatures, your evocation spells deal an extra 1 point of damage per spell level. This extra damage applies to all creatures damaged by the spell. This extra damage consists of pure divine energy and is not subject to being reduced by resistance or immunity. At 5th level, this extra damage increases to 2 points per spell level.																																																																																																																																																																																																																																																																																							SOURCEPAGE:p.64
Arcane Smite			KEY:Holy Scourge ~ Arcane Smite				CATEGORY:Special Ability	TYPE:Supernatural.Class Feature.Holy Scourge Class Feature.SpecialQuality								DESC:At 2nd level, you can smite evil once per day. This ability functions like the paladin class feature (PH 44), except that you can apply the effect only to an arcane spell that requires a melee or ranged attack roll (such as shocking grasp or scorching ray). In addition to the bonus on the spell's attack rolls and damage rolls, this adds the good descriptor to the spell. At 4th level, you can use this class feature twice per day.																																																																																																																																																																																																																																																																																							SOURCEPAGE:p.64
Devoted Arcanist			KEY:Holy Scourge ~ Devoted Arcanist				CATEGORY:Special Ability	TYPE:Extraordinary.Class Feature.Holy Scourge Class Feature.SpecialQuality								DESC:Beginning at 3rd level, you can add your class level on caster level checks made to overcome the spell resistance of evil creatures with your arcane spells.																																																																																																																																																																																																																																																																																																																																					SOURCEPAGE:p.65

# Lyric Thaumaturge
Spellcasting			KEY:Lyric Thaumaturge ~ Spellcasting			CATEGORY:Special Ability	TYPE:Class Feature.Lyric Thaumaturge Class Feature.SpecialQuality										DESC:At each level, you gain new spells per day and an increase in caster level (and spells known) as if you had also gained a level in the bard class. You do not, however, gain any other benefit the bard class gives you.																																																																																																																																																																																																																																																																																																																											SOURCEPAGE:p.67
Bardic Music			KEY:Lyric Thaumaturge ~ Bardic Music			CATEGORY:Special Ability	TYPE:Class Feature.Lyric Thaumaturge Class Feature.SpecialQuality										DESC:You gain one extra daily use of your bardic music ability per lyric thaumaturge level. You can use bardic music from this class to create any effect you know as a bard.																																																																																																																																																																																																																																																																																																																																			SOURCEPAGE:p.67
Bonus Spell				KEY:Lyric Thaumaturge ~ Bonus Spell				CATEGORY:Special Ability	TYPE:Class Feature.Lyric Thaumaturge Class Feature.SpecialQuality										DESC:Your knowledge of magic grants you the ability to cast more spells than the average bard. At 1st level, you gain one additional 1st-level and 2nd-level bard spell slot. At 4th level, you gain one additional 3rd-level and 4th-level bard spell slot. At 7th level, you gain one additional 5th-level spell slot. At 10th level, you gain one additional 6th-level spell slot. If you aren't currently capable of casting the noted level of spell, you gain the extra spell slot when that spell level becomes available to you.																																																																																																																																																																																																																																																																									SOURCEPAGE:p.67
Captivating Melody		KEY:Lyric Thaumaturge ~ Captivating Melody		CATEGORY:Special Ability	TYPE:Class Feature.Lyric Thaumaturge Class Feature.SpecialQuality										DESC:At 2nd level, you gain Captivating Melody* as a bonus feat.																																																																																																																																																																																																																																																																																																																																																					SOURCEPAGE:p.67
Spell Secret			KEY:Lyric Thaumaturge ~ Spell Secret			CATEGORY:Special Ability	TYPE:Class Feature.Lyric Thaumaturge Class Feature.SpecialQuality										DESC:Thanks to your facility for blending music and magic, you gain additional spells known for each spell level as you gain levels. These spells must be drawn from the sorcerer/wizard list and are thereafter treated as part of your class spell list. At 3rd level, you gain one additional 1st- and one 2nd-level spell known. At 6th level, you gain one additional 3rd- and one 4th-level spell known. At 9th level, you gain one additional 5th- and one 6th-level spell known. If you aren't currently capable of casting a certain level of spell, you gain access to the spell secret when that spell level becomes available to you.																																																																																																																																																																																																																																																							SOURCEPAGE:p.67
Sonic Might				KEY:Lyric Thaumaturge ~ Sonic Might				CATEGORY:Special Ability	TYPE:SpellLike.Class Feature.Lyric Thaumaturge Class Feature.SpecialQuality								DESC:Beginning at 5th level, you can expend a use of bardic music to add ld6 points of sonic damage per spell level to any spell with the sonic descriptor.																																																																																																																																																																																																																																																																																																																																						SOURCEPAGE:p.68

# Master Specialist
Spellcasting			KEY:Master Specialist ~ Spellcasting			CATEGORY:Special Ability	TYPE:Class Feature.Master Specialist Class Feature.SpecialQuality										DESC:At each level, you gain new spells per day and an increase in caster level (and spells known, if applicable) as if you had also gained a level in the wizard class. You do not, however, gain any other benefit a character of that class would have gained.																																																																																																																																																																																																																																																																																																																					SOURCEPAGE:p.70
Skill Focus (Spellcraft)	KEY:Master Specialist ~ Skill Focus				CATEGORY:Special Ability	TYPE:Class Feature.Master Specialist Class Feature.SpecialQuality										DESC:At 1st level, you gain Skill Focus (Spellcraft) as a bonus feat.																																																																																																																																																																																									ABILITY:FEAT|AUTOMATIC|Skill Focus (Spellcraft)																																																																																																																																																						SOURCEPAGE:p.70
Expanded Spellbook		KEY:Master Specialist ~ Expanded Spellbook		CATEGORY:Special Ability	TYPE:Class Feature.Master Specialist Class Feature.SpecialQuality										DESC:When you reach 2nd level, you can add one spell of your chosen school to your spellbook. The spell can be of any level that you can cast, and it is in addition to the normal spells gained when increasing your level. You can add another spell of your chosen school to your spellbook at 5th and at 8th level.																																																																																																																																																																																																																																																																																																												SOURCEPAGE:p.70
Greater Spell Focus		KEY:Master Specialist ~ Greater Spell Focus		CATEGORY:Special Ability	TYPE:Class Feature.Master Specialist Class Feature.SpecialQuality										DESC:At 3rd level, you gain Greater Spell Focus as a bonus feat. You must apply this feat to your chosen school.																																																																																																																																																																																																																																																																																																																																													SOURCEPAGE:p.70
Minor School Esoterica		KEY:Master Specialist ~ Minor School Esoterica		CATEGORY:Special Ability	TYPE:Extraordinary.Class Feature.Master Specialist Class Feature.SpecialQuality							DESC:At 4th level, your unflagging focus on your chosen school opens your mind to new possibilities and grants you the first taste of the unique skills of a master specialist. You gain an ability from those below based on your chosen school.																																																																																																																																																																		ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Abjuration|PRESUBCLASS:1,Abjurer	ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Conjuration|PRESUBCLASS:1,Conjurer	ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Divination|PRESUBCLASS:1,Diviner	ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Enchantment|PRESUBCLASS:1,Enchanter	ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Evocation|PRESUBCLASS:1,Evoker	ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Illusion|PRESUBCLASS:1,Illusionist	ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Necromancy|PRESUBCLASS:1,Necromancer	ABILITY:Special Ability|AUTOMATIC|Minor School Esoterica ~ Transmutation|PRESUBCLASS:1,Transmuter																						SOURCEPAGE:p.70
# Minor School Esoterica
