# CVS $Revision: $ $Author: $ -- Sun Nov 18 19:40:52 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Traveller's Handbook	SOURCESHORT:THB	SOURCEWEB:http://www.rpgrealms.com
# Equipment Name			Type										Contains			Cost		Weight	Base Quantity	Requires Modification?	Source Page
Arrow					TYPE:Ammunition.Standard.Wooden.Arrow.Individual						COST:2	WT:0.1				MODS:YES			SOURCEPAGE:Chap. 11, Technology & Equipment
Snub Pistol (15 Rnd Mag)		TYPE:Ammunition.Standard.Metal.Magazine.Container.18mm.H_M_Mag_18mm_Snub	CONTAINS:*15|H_M_Bul_18mm_Snub=15	COST:25	WT:0.075				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
Shotgun (10 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.Cartridge.S_M_Mag_Cart	CONTAINS:*10|S_M_Cart=10		COST:10	WT:0.75				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
Rifle (10 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.7mm.R_STD_M_Mag_7mm		CONTAINS:*10|R_M_Bul_7mm=10		COST:20	WT:0.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Carbine (20 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.7mm.R_CAR_M_Mag_7mm		CONTAINS:*20|R_M_Bul_7mm=20		COST:10	WT:0.125				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Auto Rifle (20 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.7mm.R_AUT_M_Mag_7mm		CONTAINS:*20|R_M_Bul_7mm=20		COST:20	WT:0.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Assault Rifle (30 Rnd Mag)		TYPE:Ammunition.Standard.Metal.Magazine.Container.7mm.R_ASS_M_Mag_7mm		CONTAINS:*30|R_M_Bul_7mm=30		COST:20	WT:0.33				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Accelerator Rifle (15 Rnd Mag)	TYPE:Ammunition.Standard.Metal.Magazine.Container.12mm.R_M_Mag_12mm_Snub	CONTAINS:*15|R_M_Bul_12mm_Snub=15	COST:25	WT:0.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
ACR (20 Rnd Mag)				TYPE:Ammunition.Standard.Metal.Magazine.Container.7mm.R_ACR_M_Mag_7mm		CONTAINS:*20|R_ACR_M_Bul_7mm=20	COST:15	WT:0.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Gauss Rifle (40 Rnd Mag)		TYPE:Ammunition.Standard.Metal.Magazine.Container.4mm.R_GAU_M_Mag_4mm		CONTAINS:*40|R_M_Bul_4mm=40		COST:30	WT:0.4				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
SMG (30 Rnd Mag)				TYPE:Ammunition.Standard.Metal.Magazine.Container.10mm.M_M_Mag_10mm		CONTAINS:*30|H_M_Bul_10mm=30		COST:20	WT:0.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
LMG (100 Rnd Belt)			TYPE:Ammunition.Standard.Metal.Magazine.Container.10mm.M_M_Mag_10mm		CONTAINS:*100|H_M_Bul_10mm=100	COST:120	WT:2.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
Laser Pistol (25 Shot PowerPack)	TYPE:Ammunition.Standard.Metal.PowerPack.Container.EBolt.L_M_Pow			CONTAINS:*25|EBolt=25			COST:100	WT:0.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Laser Carbine (50 Shot PowerPack)	TYPE:Ammunition.Standard.Metal.PowerPack.Container.EBolt.L_M_Pow			CONTAINS:*50|EBolt=50			COST:200	WT:3					MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
Laser Rifle (100 Shot PowerPack)	TYPE:Ammunition.Standard.Metal.PowerPack.Container.EBolt.L_M_Pow			CONTAINS:*100|EBolt=100			COST:300	WT:4					MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
LAG (5 Rnd Mag)				TYPE:Ammunition.Standard.Metal.Magazine.Container.20mm.R_M_Mag_20mm		CONTAINS:*5|R_M_Bul_20mm=5		COST:20	WT:0.5				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
RAM (3 Grenade Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.Mag_Grenade			CONTAINS:*3|Grenade=3			COST:50	WT:3					MODS:NO			SOURCEPAGE:Chap.11,TL8 Weapons			SPROP:Holds 3 Grenades, Fires Tranq (standard), HE, or AP Rounds
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
PGMP-12 (40 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.PBolt.P_M_Mag			CONTAINS:*40|PBolt=40			COST:2500	WT:3					MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
PGMP-13 (40 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.PBolt.P_M_Mag			CONTAINS:*40|PBolt=40			COST:50000	WT:7					MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
PGMP-14 (40 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.PBolt.P_M_Mag			CONTAINS:*40|PBolt=40			COST:250000	WT:1.6				MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
# Equipment Name				Type													Contains					Cost		Weight	Base Quantity	Requires Modification?	Source Page							Special Property
FGMP-14 (40 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.FBolt.F_M_Mag			CONTAINS:*40|FBolt=40			COST:65000	WT:9					MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment
FGMP-15 (40 Rnd Mag)			TYPE:Ammunition.Standard.Metal.Magazine.Container.FBolt.F_M_Mag			CONTAINS:*40|FBolt=40			COST:300000	WT:2					MODS:NO			SOURCEPAGE:Chap. 11, Technology & Equipment

#Magazines capable of taking the same caliber rounds will not exchange between firearm types
#SMG's and handguns share the same ammo
