# CVS $Revision: $ $Author: $ -- Mon Feb 22 22:56:28 2016 -- reformated by PCGen PrettyLST v6.06.00

# Class Name	Hit Dice	Type			Max Level	Define			Modify VAR
CLASS:Barbarian	HD:12		TYPE:PC.BASE	MAXLEVEL:20	DEFINE:BarbarianLVL|0	BONUS:VAR|BarbarianLVL|CL
# Class Name	Multiple Requirements
CLASS:Barbarian	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Barbarian],[PRECLASS:1,Barbarian=1]
CLASS:Bard		HD:8		TYPE:PC.BASE	MAXLEVEL:20	SOURCEPAGE:p.51	DEFINE:BardLVL|0	BONUS:VAR|BardLVL|CL	BONUS:VAR|SpellCasterTotalLVL|BardLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Bard		PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Bard],[PRECLASS:1,Bard=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Bard		SPELLSTAT:CHA	MEMORIZE:NO	BONUS:CASTERLEVEL|Bard|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Bard
###Block
1	CAST:99,BardCast1
2	CAST:99,BardCast1
3	CAST:99,BardCast1,BardCast2
4	CAST:99,BardCast1,BardCast2
5	CAST:99,BardCast1,BardCast2,BardCast3
6	CAST:99,BardCast1,BardCast2,BardCast3
7	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4
8	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4
9	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5
10	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5
11	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6
12	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6
13	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7
14	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7
15	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8
16	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8
17	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
18	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
19	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
20	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7,BardCast8,BardCast9
###Block
1	KNOWN:0,4
2	KNOWN:0,5
3	KNOWN:0,4,2
4	KNOWN:0,3,4
5	KNOWN:0,2,4,2
6	KNOWN:0,1,4,4
7	KNOWN:0,0,4,4,2
8	KNOWN:0,0,3,4,4
9	KNOWN:0,0,2,4,4,2
10	KNOWN:0,0,1,4,4,3
11	KNOWN:0,0,0,4,4,3,2
12	KNOWN:0,0,0,3,4,3,3
13	KNOWN:0,0,0,2,4,3,3,2
14	KNOWN:0,0,0,1,4,3,3,3
15	KNOWN:0,0,0,0,4,3,3,3,2
16	KNOWN:0,0,0,0,3,3,3,3,3
17	KNOWN:0,0,0,0,2,3,3,3,3,2
18	KNOWN:0,0,0,0,1,3,3,3,3,3
19	KNOWN:0,0,0,0,0,3,3,3,3,4
20	KNOWN:0,0,0,0,0,2,3,3,3,5
###Block
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Spellcasting
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Cantrips
1	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Bardic Inspiration
2	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Jack of All Trades
2	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Song of Rest
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Bard College
3	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Expertise
4	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Ability Score Improvement
5	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Font of Inspiration
6	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Countercharm
10	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Magical Secrets
20	ABILITY:Bard Class Feature|AUTOMATIC|Bard ~ Superior Inspiration


# Class Name	Hit Dice	Type			Define			Modify VAR																FACT
CLASS:Cleric	HD:8		TYPE:PC.Base	DEFINE:ClericLVL|0	BONUS:VAR|ClericLVL|CL	BONUS:VAR|SpellCasterTotalLVL|ClericLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Divine
# Class Name	Multiple Requirements
CLASS:Cleric	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Cleric],[PRECLASS:1,Cleric=1]
# Class Name	Spell Stat		Memorize		Automatically Known Spell Levels									Caster level
CLASS:Cleric	SPELLSTAT:WIS	MEMORIZE:YES	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Cleric|CL	BONUS:DOMAIN|NUMBER|1|PREABILITY:1,CATEGORY=Special Ability,TYPE.Divine Domain
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Cleric
###Block
1	CAST:99,ClericCast1
2	CAST:99,ClericCast1
3	CAST:99,ClericCast1,ClericCast2
4	CAST:99,ClericCast1,ClericCast2
5	CAST:99,ClericCast1,ClericCast2,ClericCast3
6	CAST:99,ClericCast1,ClericCast2,ClericCast3
7	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4
8	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4
9	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5
10	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5
11	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6
12	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6
13	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7
14	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7
15	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7,ClericCast8
16	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7,ClericCast8
17	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7,ClericCast8,ClericCast9
18	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7,ClericCast8,ClericCast9
19	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7,ClericCast8,ClericCast9
20	CAST:99,ClericCast1,ClericCast2,ClericCast3,ClericCast4,ClericCast5,ClericCast6,ClericCast7,ClericCast8,ClericCast9
###Block
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Cantrips
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Spellcasting Ability
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Divine Domain
2	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Channel Divinity
4	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Ability Score Improvement
5	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Destroy Undead
10	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Divine Intervention
###Block
0	DOMAIN:Knowledge Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Knowledge Domain
0	DOMAIN:Life Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Life Domain		
0	DOMAIN:Light Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Light Domain	
0	DOMAIN:Nature Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Nature Domain	
0	DOMAIN:Tempest Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Tempest Domain	
0	DOMAIN:Trickery Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ Trickery Domain	
0	DOMAIN:War Domain|PREABILITY:1,CATEGORY=Special Ability,Divine Domain ~ War Domain	


# Class Name	Hit Dice	Type			Define		Auto Language	Modify VAR																FACT
CLASS:Druid		HD:8		TYPE:PC.Base	DEFINE:DruidLVL|0	AUTO:LANG|Druidic	BONUS:VAR|DruidLVL|CL	BONUS:VAR|SpellCasterTotalLVL|DruidLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Divine	FACT:SpellType|Divine
# Class Name	Multiple Requirements
CLASS:Druid		PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Druid],[PRECLASS:1,Druid=1]
# Class Name	Spell Stat		Memorize		Automatically Known Spell Levels									Caster level
CLASS:Druid		SPELLSTAT:WIS	MEMORIZE:YES	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Druid|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Druid
###Block
1	CAST:99,DruidCast1
2	CAST:99,DruidCast1
3	CAST:99,DruidCast1,DruidCast2
4	CAST:99,DruidCast1,DruidCast2
5	CAST:99,DruidCast1,DruidCast2,DruidCast3
6	CAST:99,DruidCast1,DruidCast2,DruidCast3
7	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4
8	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4
9	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5
10	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5
11	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6
12	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6
13	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7
14	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7
15	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7,DruidCast8
16	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7,DruidCast8
17	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7,DruidCast8,DruidCast9
18	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7,DruidCast8,DruidCast9
19	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7,DruidCast8,DruidCast9
20	CAST:99,DruidCast1,DruidCast2,DruidCast3,DruidCast4,DruidCast5,DruidCast6,DruidCast7,DruidCast8,DruidCast9
###Block
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Druidic
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Spellcasting
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Cantrips
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Ritual Casting
1	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Spellcasting Focus
2	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Wild Shape
2	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Druid Circle
4	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Ability Score Improvement
18	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Timeless Body
18	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Beast Spells
20	ABILITY:Druid Class Feature|AUTOMATIC|Druid ~ Archdruid


# Class Name	Hit Dice	Type			Define			Modify VAR			FACT
CLASS:Fighter	HD:10		TYPE:PC.Base	DEFINE:FighterLVL|0	BONUS:VAR|FighterLVL|CL	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Fighter	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Fighter],[PRECLASS:1,Fighter=1]
# Class Name	Spell Stat		Memorize	Caster level			Use Spell List
CLASS:Fighter	SPELLSTAT:INT	MEMORIZE:NO	BONUS:CASTERLEVEL|Fighter|CL	SPELLLIST:1|Fighter
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block
1	ABILITY:Class|AUTOMATIC|Fighter
###Block
3	CAST:0,1+FighterCast1
4	CAST:0,1+FighterCast1
5	CAST:0,1+FighterCast1
6	CAST:0,1+FighterCast1
7	CAST:0,1+FighterCast1,FighterCast2
8	CAST:0,1+FighterCast1,FighterCast2
9	CAST:0,1+FighterCast1,FighterCast2
10	CAST:0,1+FighterCast1,FighterCast2
11	CAST:0,1+FighterCast1,FighterCast2
12	CAST:0,1+FighterCast1,FighterCast2
13	CAST:0,1+FighterCast1,FighterCast2,FighterCast3
14	CAST:0,1+FighterCast1,FighterCast2,FighterCast3
15	CAST:0,1+FighterCast1,FighterCast2,FighterCast3
16	CAST:0,1+FighterCast1,FighterCast2,FighterCast3
17	CAST:0,1+FighterCast1,FighterCast2,FighterCast3
18	CAST:0,1+FighterCast1,FighterCast2,FighterCast3
19	CAST:0,1+FighterCast1,FighterCast2,FighterCast3,FighterCast4
20	CAST:0,1+FighterCast1,FighterCast2,FighterCast3,FighterCast4

# Class Name	Hit Dice	Type			Define		Modify VAR
CLASS:Monk		HD:8		TYPE:PC.Base	DEFINE:MonkLVL|0	BONUS:VAR|MonkLVL|CL
# Class Name	Multiple Requirements
CLASS:Monk		PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Monk],[PRECLASS:1,Monk=1]
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Monk
###Block
1	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Unarmored Defense
1	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Martial Arts
2	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Ki
2	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Unarmored Movement
3	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Monastic Tradition
3	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Deflect Missiles
4	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Ability Score Improvement
4	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Slow Fall
5	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Extra Attack
5	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Stunning Strike
6	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Ki-Empowered Strikes
7	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Evasion
7	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Stillness of Mind
10	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Purity of Body
13	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Tongue of the Sun and Moon
14	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Diamond Soul
15	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Timeless Body
18	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Empty Body
20	ABILITY:Monk Class Feature|AUTOMATIC|Monk ~ Perfect Self

# Class Name	Hit Dice	Type			Define			Modify VAR																	FACT
CLASS:Paladin	HD:10		TYPE:PC.Base	DEFINE:PaladinLVL|0	BONUS:VAR|PaladinLVL|CL	BONUS:VAR|SpellCasterTotalLVL|PaladinLVL/2	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Divine
# Class Name	Multiple Requirements
CLASS:Paladin	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Paladin],[PRECLASS:1,Paladin=1]
# Class Name	Spell Stat		Memorize		Automatically Known Spell Levels				Caster level
CLASS:Paladin	SPELLSTAT:CHA	MEMORIZE:YES	KNOWNSPELLS:LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5	BONUS:CASTERLEVEL|Paladin|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Paladin
###Block
1	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Divine Sense
1	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Lay on Hands
2	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Fighting Style
2	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Spellcasting
2	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Spellcasting Focus
2	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Divine Smite
3	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Divine Health
3	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Sacred Oath
3	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Oath Spells
3	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Channel Divinity
4	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Ability Score Improvement
5	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Extra Attack
6	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Aura of Protection
10	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Aura of Courage
11	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Improved Divine Smite
14	ABILITY:Paladin Class Feature|AUTOMATIC|Paladin ~ Cleansing Touch
###Block
2	CAST:99,PaladinCast1
3	CAST:99,PaladinCast1
4	CAST:99,PaladinCast1
5	CAST:99,PaladinCast1,PaladinCast2
6	CAST:99,PaladinCast1,PaladinCast2
7	CAST:99,PaladinCast1,PaladinCast2
8	CAST:99,PaladinCast1,PaladinCast2
9	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3
10	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3
11	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3
12	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3
13	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4
14	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4
15	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4
16	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4
17	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4,PaladinCast5
18	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4,PaladinCast5
19	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4,PaladinCast5
20	CAST:99,PaladinCast1,PaladinCast2,PaladinCast3,PaladinCast4,PaladinCast5

# Class Name	Hit Dice	Type			Define			Modify VAR																FACT
CLASS:Ranger	HD:10		TYPE:PC.Base	DEFINE:RangerLVL|0	BONUS:VAR|RangerLVL|CL	BONUS:VAR|SpellCasterTotalLVL|RangerLVL/2	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Divine
# Class Name	Multiple Requirements
CLASS:Ranger	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Ranger],[PRECLASS:1,Ranger=1]
# Class Name	Spell Stat		Memorize	Caster level
CLASS:Ranger	SPELLSTAT:WIS	MEMORIZE:NO	BONUS:CASTERLEVEL|Ranger|CL
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Ranger
###Block
1	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Favored Enemy|!PREFACT:1,ABILITIES,AltRanger=true
1	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Natural Explorer|!PREFACT:1,ABILITIES,AltRanger=true
2	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Fighting Style|!PREFACT:1,ABILITIES,AltRanger=true
2	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Spellcasting|!PREFACT:1,ABILITIES,AltRanger=true
2	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Spell Slots|!PREFACT:1,ABILITIES,AltRanger=true
3	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Ranger Archetype|!PREFACT:1,ABILITIES,AltRanger=true
3	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Primeval Awareness|!PREFACT:1,ABILITIES,AltRanger=true
4	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Ability Score Improvement|!PREFACT:1,ABILITIES,AltRanger=true
5	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Extra Attack|!PREFACT:1,ABILITIES,AltRanger=true
8	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Land's Stride|!PREFACT:1,ABILITIES,AltRanger=true
10	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Hide in Plain Sight|!PREFACT:1,ABILITIES,AltRanger=true
14	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Vanish|!PREFACT:1,ABILITIES,AltRanger=true
18	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Feral Senses|!PREFACT:1,ABILITIES,AltRanger=true
20	ABILITY:Ranger Class Feature|AUTOMATIC|Ranger ~ Foe Slayer|!PREFACT:1,ABILITIES,AltRanger=true
###Block
2	CAST:99,RangerCast1
3	CAST:99,RangerCast1
4	CAST:99,RangerCast1
5	CAST:99,RangerCast1,RangerCast2
6	CAST:99,RangerCast1,RangerCast2
7	CAST:99,RangerCast1,RangerCast2
8	CAST:99,RangerCast1,RangerCast2
9	CAST:99,RangerCast1,RangerCast2,RangerCast3
10	CAST:99,RangerCast1,RangerCast2,RangerCast3
11	CAST:99,RangerCast1,RangerCast2,RangerCast3
12	CAST:99,RangerCast1,RangerCast2,RangerCast3
13	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4
14	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4
15	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4
16	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4
17	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4,RangerCast5
18	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4,RangerCast5
19	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4,RangerCast5
20	CAST:99,RangerCast1,RangerCast2,RangerCast3,RangerCast4,RangerCast5
###Block
2	KNOWN:0,2
3	KNOWN:0,3
4	KNOWN:0,3
5	KNOWN:0,2,2
6	KNOWN:0,1,3
7	KNOWN:0,0,5
8	KNOWN:0,0,5
9	KNOWN:0,0,4,2
10	KNOWN:0,0,3,3
11	KNOWN:0,0,2,5
12	KNOWN:0,0,1,6
13	KNOWN:0,0,0,6,2
14	KNOWN:0,0,0,5,3
15	KNOWN:0,0,0,4,5
16	KNOWN:0,0,0,3,6
17	KNOWN:0,0,0,2,6,2
18	KNOWN:0,0,0,1,6,3
19	KNOWN:0,0,0,0,6,5
20	KNOWN:0,0,0,0,5,6


# Class Name	Hit Dice	Type			Define		Modify VAR			FACT
CLASS:Rogue		HD:8		TYPE:PC.Base	DEFINE:RogueLVL|0	BONUS:VAR|RogueLVL|CL	FACT:SpellType|Arcane
# Class Name	Multiple Requirements
CLASS:Rogue		PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Rogue],[PRECLASS:1,Rogue=1]
# Class Name	Spell Stat		Memorize	Caster level			Use Spell List
CLASS:Rogue		SPELLSTAT:INT	MEMORIZE:NO	BONUS:CASTERLEVEL|Rogue|CL	SPELLLIST:1|Rogue
###Block
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Abilities
1	ABILITY:Class|AUTOMATIC|Rogue
###Block
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Expertise
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Sneak Attack
1	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Thieves' Cant
2	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Cunning Action
3	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Roguish Archetype
4	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Ability Score Improvement
5	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Uncanny Dodge
7	ABILITY:Rogue Class Feature|AUTOMATIC|Rogue ~ Evasion
