

MONSTER HUNTER'S PACK	COST:33	TYPE:Pack	SPROP:You can buy a monster hunter's pack for 33 gp, which is cheaper than buying the items in it individually. It includes a chest, a crowbar, a hammer, three wooden stakes, a holy symbol, a flask of holy water, a set of manacles, a steel mirror, a flask of oil, a tinderbox, and 3 torches.

Wooden Stake		COST:0	TYPE:Item
Gothic Trinket 33-34 - A little black book that records your dreams, and yours alone, when you sleep																KEY:Gothic Trinket 33-34		TYPE:Gothic Trinket
Gothic Trinket 35-36 - A necklace formed of the interlinked holy symbols of a dozen deities																	KEY:Gothic Trinket 35-36		TYPE:Gothic Trinket
Gothic Trinket 37-38 - A hangman's noose that feels heavier than it should																				KEY:Gothic Trinket 37-38		TYPE:Gothic Trinket
Gothic Trinket 39-40 - A birdcage into which small birds fly but once inside never eat or leave																	KEY:Gothic Trinket 39-40		TYPE:Gothic Trinket
Gothic Trinket 41-42 - A lepidopterist's box filled dead moths with skulllike patterns on their wings																KEY:Gothic Trinket 41-42		TYPE:Gothic Trinket
Gothic Trinket 43-44 - A jar of pickled ghouls' tongues																							KEY:Gothic Trinket 43-44		TYPE:Gothic Trinket
Gothic Trinket 45-46 - The wooden hand of a notorious pirate																						KEY:Gothic Trinket 45-46		TYPE:Gothic Trinket
Gothic Trinket 47-48 - A urn with the ashes of a dead relative																						KEY:Gothic Trinket 47-48		TYPE:Gothic Trinket
Gothic Trinket 49-50 - A hand mirror backed with a bronze depiction of a medusa																			KEY:Gothic Trinket 49-50		TYPE:Gothic Trinket
Gothic Trinket 51-52 - Pallid leather gloves crafted with ivory fingernails																				KEY:Gothic Trinket 51-52		TYPE:Gothic Trinket
Gothic Trinket 53-54 - Dice made from the knuckles of a notorious charlatan																				KEY:Gothic Trinket 53-54		TYPE:Gothic Trinket
Gothic Trinket 55-56 - A ring of keys for forgotten locks																							KEY:Gothic Trinket 55-56		TYPE:Gothic Trinket
Gothic Trinket 57-58 - Nails from the coffin of a murderer																							KEY:Gothic Trinket 57-58		TYPE:Gothic Trinket
Gothic Trinket 59-60 - A key to the family crypt																								KEY:Gothic Trinket 59-60		TYPE:Gothic Trinket
Gothic Trinket 61-62 - An bouquet of funerary flowers that always looks and smells fresh																		KEY:Gothic Trinket 61-62		TYPE:Gothic Trinket
Gothic Trinket 63-64 - A switch used to discipline you as a child																						KEY:Gothic Trinket 63-64		TYPE:Gothic Trinket
Gothic Trinket 65-66 - A music box that plays by itself whenever someone holding it dances																	KEY:Gothic Trinket 65-66		TYPE:Gothic Trinket
Gothic Trinket 67-68 - A walking cane with an iron ferule that strikes sparks on stone																		KEY:Gothic Trinket 67-68		TYPE:Gothic Trinket
Gothic Trinket 69-70 - A flag from a ship lost at sea																								KEY:Gothic Trinket 69-70		TYPE:Gothic Trinket
Gothic Trinket 71-72 - Porcelain doll's head that always seems to be looking at you																			KEY:Gothic Trinket 71-72		TYPE:Gothic Trinket
Gothic Trinket 73-74 - A wolf's head wrought in silver that is also a whistle.																			KEY:Gothic Trinket 73-74		TYPE:Gothic Trinket
Gothic Trinket 75-76 - A small mirror that shows a much older version of the viewer																			KEY:Gothic Trinket 75-76		TYPE:Gothic Trinket
Gothic Trinket 77-78 - Small, worn book of children's nursery rhymes.																					KEY:Gothic Trinket 77-78		TYPE:Gothic Trinket
Gothic Trinket 79-80 - A mummified raven claw																									KEY:Gothic Trinket 79-80		TYPE:Gothic Trinket
Gothic Trinket 81-82 - A broken pendent of a silver dragon that's always cold to the touch																	KEY:Gothic Trinket 81-82		TYPE:Gothic Trinket
Gothic Trinket 83-84 - A small locked box that quietly hums a lovely melody at night but you always forget it in the morning												KEY:Gothic Trinket 83-84		TYPE:Gothic Trinket
Gothic Trinket 85-86 - An inkwell that makes one a little nauseous when staring at it																		KEY:Gothic Trinket 85-86		TYPE:Gothic Trinket
Gothic Trinket 87-88 - An old little doll made from a dark, dense·wood and missing a hand and a foot																KEY:Gothic Trinket 87-88		TYPE:Gothic Trinket
Gothic Trinket 89-90 - A black executioner's hood																								KEY:Gothic Trinket 89-90		TYPE:Gothic Trinket
Gothic Trinket 91-92 - A pouch made offlesh, with a sinew drawstring																					KEY:Gothic Trinket 91-92		TYPE:Gothic Trinket
Gothic Trinket 93-94 - A tiny spool of black thread that never runs out																					KEY:Gothic Trinket 93-94		TYPE:Gothic Trinket
Gothic Trinket 95-96 - A tiny clockwork figurine of a dancer that's missing a gear and doesn't work																KEY:Gothic Trinket 95-96		TYPE:Gothic Trinket
Gothic Trinket 97-98 - A black wooden pipe that creates puffs of smoke that look like skulls																	KEY:Gothic Trinket 97-98		TYPE:Gothic Trinket
Gothic Trinket 99-00 - A vial of perfume, the scent of which only certain Creatures can detect																	KEY:Gothic Trinket 99-00		TYPE:Gothic Trinket

###Block: Curse of Strahd specific
Tome of Strahd	TYPE:Campaign Specific Item

###Block: Magic
Blood Spear		TYPE:Weapon.Melee.Specific.Magic.Piercing.Uncommon.Weapon (Spear).Spear.Attunement	SPROP:When you hit with a melee attack using this magic spear and reduce the target to 0 hit points, you gain 2d6 temporary hit points.

Quarterstaff.COPY=Gulthias Staff

Gulthias Staff.MOD	TYPE:Weapon.Quarterstaff.Staff.Magic.Attunement.Melee.Bludgeoning	SPROP:Its evil makes beasts visibly uncomfortable while within 30 feet of it. The staff has 10 charges and regains ld6 + 4 of its expended charges daily at dusk. If the staff is broken or burned to ashes, its wood releases a terrible, inhuman scream that can be heard out to a range of 300 feet. All blights that can hear the scream immediately wither and die. Vampiric Strike&colon; The staff can be wielded as a magic quarterstaff. On a hit, it deals damage as a normal quarterstaff, and you can expend 1 charge to regain a number of hit points equal to the damage dealt by the weapon. Each time a charge is spent, red blood oozes from the staff's pores, and you must succeed on a DC 12 Wisdom saving throw or be afflicted with short,term madness (see "Madness" in chapter· 8 of the Dungeon Master's Guide). Blight Bane&colon; While you are attuned to the staff, blights and other evil plant creatures don't regard you as hostile unless you harm them.

Holy Symbol of Ravenkind	TYPE:Magic.Amulet.Holy Symbol
Icon of Ravenloft			TYPE:Magic.Wondrous Item		SPROP:The icon was given to Strahd by the archpriest Ciril Romulich, an old family friend, to consecrate the castle and its chapel. While within 30 feet of the icon, a creature is under the effect of a protection from evil and good spell against fiends and undead. Only a creature attuned to the icon can use its other properties. Augury. You can use an action to cast an augury spell from the icon, with no material components required. Once used, this property can't be used again until the next dawn. Bane of the Undead. You can use the icon as a holy symbol while using the Turn Undead or Turn the Unholy feature. If you do so, increase the save DC by 2. Cure Wounds. While holding the icon, you can take an action to heal one creature that you can see within 30 feet of you. The target regains 3d8 + 3 hit points, unless it is an undead, a construct, or a fiend. Once used, this property can't be used again until the next dawn.

Mace.COPY=Saint Markovia's Thighbone
Saint Markovia's Thighbone.MOD	TYPE:Magic.Weapon.Melee.Bludgeoning.Mace.Attunement	SPROP:Mace of Disruption. Saint Markovia's thighbone has the properties of a mace of disruption. If it scores one or more hits against a vampire or a vampire spawn in the course of a single battle, the thighbone crumbles into dust once the battle concludes.

Longsword.COPY=Sunsword

Sunsword.MOD	TYPE:Legendary.Attunement.Magic	SPROP:GM will divulge.
