# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:59:32 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# This doesn't take into account (Paladin) spells from other sources.  No way to 'Remove spells from a spell list'
# Spell Name				Classes of caster							Description
Fox's Cunning.MOD				CLASSES:Cleric (Cloistered Cleric)=2
#3rd-
Illusory Script.MOD			CLASSES:Cleric (Cloistered Cleric)=3
Secret Page.MOD				CLASSES:Cleric (Cloistered Cleric)=3
Tongues.MOD					CLASSES:Cleric (Cloistered Cleric)=3
#4th-
Detect Scrying.MOD			CLASSES:Cleric (Cloistered Cleric)=4
#6th-
Analyze Dweomer.MOD			CLASSES:Cleric (Cloistered Cleric)=6
#7th-
Sequester.MOD				CLASSES:Cleric (Cloistered Cleric)=7
#9th-
Vision.MOD					CLASSES:Cleric (Cloistered Cleric)=9

# Savage Bard
Alarm.MOD					CLASSES:Savage Bard=1

###Block - Arcane Domain Support
Cone of Cold.COPY=Cone of Fire
Summon Monster VI.COPY=Summon Monster VI (Fire Creatures Only)
Meteor Swarm.COPY=Comet Swarm
Delayed Blast Fireball.COPY=Delayed Blast Frostball

###Block: Assign Arcane Domains
Resistance.MOD		DESCRIPTOR:Abjuration Domain
Shield.MOD		DESCRIPTOR:Abjuration Domain
Resist Energy.MOD		DESCRIPTOR:Abjuration Domain
Dispel Magic.MOD		DESCRIPTOR:Abjuration Domain
Remove Curse.MOD		DESCRIPTOR:Abjuration Domain
Mage's Private Sanctum.MOD		DESCRIPTOR:Abjuration Domain
Dispel Magic (Greater).MOD		DESCRIPTOR:Abjuration Domain
Banishment.MOD		DESCRIPTOR:Abjuration Domain
Mind Blank.MOD		DESCRIPTOR:Abjuration Domain
Prismatic Sphere.MOD		DESCRIPTOR:Abjuration Domain
Detect Magic.MOD		DESCRIPTOR:Antimagic Domain
Protection from Chaos.MOD		DESCRIPTOR:Antimagic Domain
Protection from Evil.MOD		DESCRIPTOR:Antimagic Domain
Protection from Good.MOD		DESCRIPTOR:Antimagic Domain
Protection from Law.MOD		DESCRIPTOR:Antimagic Domain
Obscure Object.MOD		DESCRIPTOR:Antimagic Domain
Dispel Magic.MOD		DESCRIPTOR:Antimagic Domain
Globe of Invulnerability (Lesser).MOD		DESCRIPTOR:Antimagic Domain
Break Enchantment.MOD		DESCRIPTOR:Antimagic Domain
Antimagic Field.MOD		DESCRIPTOR:Antimagic Domain
Spell Turning.MOD		DESCRIPTOR:Antimagic Domain
Protection from Spells.MOD		DESCRIPTOR:Antimagic Domain
Mage's Disjunction.MOD		DESCRIPTOR:Antimagic Domain
Daze.MOD		DESCRIPTOR:Battle Domain
True Strike.MOD		DESCRIPTOR:Battle Domain
Protection from Arrows.MOD		DESCRIPTOR:Battle Domain
Magic Weapon (Greater).MOD		DESCRIPTOR:Battle Domain
Fire Shield.MOD		DESCRIPTOR:Battle Domain
Interposing Hand.MOD		DESCRIPTOR:Battle Domain
Transformation.MOD		DESCRIPTOR:Battle Domain
Power Word Blind.MOD		DESCRIPTOR:Battle Domain
Moment of Prescience.MOD		DESCRIPTOR:Battle Domain
Time Stop.MOD		DESCRIPTOR:Battle Domain
Ray of Frost.MOD		DESCRIPTOR:Cold Domain
Chill Touch.MOD		DESCRIPTOR:Cold Domain
Chill Metal.MOD		DESCRIPTOR:Cold Domain
Sleet Storm.MOD		DESCRIPTOR:Cold Domain
Wall of Ice.MOD		DESCRIPTOR:Cold Domain
Cone of Cold.MOD		DESCRIPTOR:Cold Domain
Freezing Sphere.MOD		DESCRIPTOR:Cold Domain
Delayed Blast Frostball.MOD		DESCRIPTOR:Cold Domain
Polar Ray.MOD		DESCRIPTOR:Cold Domain
Comet Swarm.MOD		DESCRIPTOR:Cold Domain
Acid Splash.MOD		DESCRIPTOR:Conjuration Domain
Mage Armor.MOD		DESCRIPTOR:Conjuration Domain
Web.MOD		DESCRIPTOR:Conjuration Domain
Stinking Cloud.MOD		DESCRIPTOR:Conjuration Domain
Summon Monster IV.MOD		DESCRIPTOR:Conjuration Domain
Wall of Stone.MOD		DESCRIPTOR:Conjuration Domain
Acid Fog.MOD		DESCRIPTOR:Conjuration Domain
Summon Monster VII.MOD		DESCRIPTOR:Conjuration Domain
Maze.MOD		DESCRIPTOR:Conjuration Domain
Gate.MOD		DESCRIPTOR:Conjuration Domain
Detect Magic.MOD		DESCRIPTOR:Divination Domain
Detect Secret Doors.MOD		DESCRIPTOR:Divination Domain
See Invisibility.MOD		DESCRIPTOR:Divination Domain
Arcane Sight.MOD		DESCRIPTOR:Divination Domain
Arcane Eye.MOD		DESCRIPTOR:Divination Domain
Prying Eyes.MOD		DESCRIPTOR:Divination Domain
True Seeing.MOD		DESCRIPTOR:Divination Domain
Arcane Sight (Greater).MOD		DESCRIPTOR:Divination Domain
Discern Location.MOD		DESCRIPTOR:Divination Domain
Foresight.MOD		DESCRIPTOR:Divination Domain
Daze.MOD		DESCRIPTOR:Enchantment Domain
Charm Person.MOD		DESCRIPTOR:Enchantment Domain
Hideous Laughter.MOD		DESCRIPTOR:Enchantment Domain
Suggestion.MOD		DESCRIPTOR:Enchantment Domain
Confusion.MOD		DESCRIPTOR:Enchantment Domain
Hold Monster.MOD		DESCRIPTOR:Enchantment Domain
Heroism (Greater).MOD		DESCRIPTOR:Enchantment Domain
Insanity.MOD		DESCRIPTOR:Enchantment Domain
Charm Monster (Mass).MOD		DESCRIPTOR:Enchantment Domain
Dominate Monster.MOD		DESCRIPTOR:Enchantment Domain
Light.MOD		DESCRIPTOR:Evocation Domain
Magic Missile.MOD		DESCRIPTOR:Evocation Domain
Flaming Sphere.MOD		DESCRIPTOR:Evocation Domain
Lightning Bolt.MOD		DESCRIPTOR:Evocation Domain
Shout.MOD		DESCRIPTOR:Evocation Domain
Wall of Force.MOD		DESCRIPTOR:Evocation Domain
Forceful Hand.MOD		DESCRIPTOR:Evocation Domain
Mage's Sword.MOD		DESCRIPTOR:Evocation Domain
Telekinetic Sphere.MOD		DESCRIPTOR:Evocation Domain
Crushing Hand.MOD		DESCRIPTOR:Evocation Domain
Flare.MOD		DESCRIPTOR:Fire Domain
Burning Hands.MOD		DESCRIPTOR:Fire Domain
Scorching Ray.MOD		DESCRIPTOR:Fire Domain
Fireball.MOD		DESCRIPTOR:Fire Domain
Wall of Fire.MOD		DESCRIPTOR:Fire Domain
Cone of Fire.MOD		DESCRIPTOR:Fire Domain
Summon Monster VI (Fire Creatures Only).MOD		DESCRIPTOR:Fire Domain
Delayed Blast Fireball.MOD		DESCRIPTOR:Fire Domain
Incendiary Cloud.MOD		DESCRIPTOR:Fire Domain
Meteor Swarm.MOD		DESCRIPTOR:Fire Domain
Ghost Sound.MOD		DESCRIPTOR:Illusion Domain
Disguise Self.MOD		DESCRIPTOR:Illusion Domain
Invisibility.MOD		DESCRIPTOR:Illusion Domain
Major Image.MOD		DESCRIPTOR:Illusion Domain
Phantasmal Killer.MOD		DESCRIPTOR:Illusion Domain
Shadow Evocation.MOD		DESCRIPTOR:Illusion Domain
Mislead.MOD		DESCRIPTOR:Illusion Domain
Invisibility (Mass).MOD		DESCRIPTOR:Illusion Domain
Scintillating Pattern.MOD		DESCRIPTOR:Illusion Domain
Shades.MOD		DESCRIPTOR:Illusion Domain
Disrupt Undead.MOD		DESCRIPTOR:Necromancy Domain
Ray of Enfeeblement.MOD		DESCRIPTOR:Necromancy Domain
False Life.MOD		DESCRIPTOR:Necromancy Domain
Vampiric Touch.MOD		DESCRIPTOR:Necromancy Domain
Fear.MOD		DESCRIPTOR:Necromancy Domain
Waves of Fatigue.MOD		DESCRIPTOR:Necromancy Domain
Circle of Death.MOD		DESCRIPTOR:Necromancy Domain
Control Undead.MOD		DESCRIPTOR:Necromancy Domain
Horrid Wilting.MOD		DESCRIPTOR:Necromancy Domain
Energy Drain.MOD		DESCRIPTOR:Necromancy Domain
Ray of Frost.MOD		DESCRIPTOR:Storm Domain
Obscuring Mist.MOD		DESCRIPTOR:Storm Domain
Gust of Wind.MOD		DESCRIPTOR:Storm Domain
Lightning Bolt.MOD		DESCRIPTOR:Storm Domain
Ice Storm.MOD		DESCRIPTOR:Storm Domain
Control Winds.MOD		DESCRIPTOR:Storm Domain
Chain Lightning.MOD		DESCRIPTOR:Storm Domain
Control Weather.MOD		DESCRIPTOR:Storm Domain
Whirlwind.MOD		DESCRIPTOR:Storm Domain
Storm of Vengeance.MOD		DESCRIPTOR:Storm Domain
Mage Hand.MOD		DESCRIPTOR:.MOD		DESCRIPTOR:Transmutation Domain
Expeditious Retreat.MOD		DESCRIPTOR:Transmutation Domain
Levitate.MOD		DESCRIPTOR:Transmutation Domain
Haste.MOD		DESCRIPTOR:Transmutation Domain
Polymorph.MOD		DESCRIPTOR:Transmutation Domain
Baleful Polymorph.MOD		DESCRIPTOR:Transmutation Domain
Disintegrate.MOD		DESCRIPTOR:Transmutation Domain
Reverse Gravity.MOD		DESCRIPTOR:Transmutation Domain
Iron Body.MOD		DESCRIPTOR:Transmutation Domain
Shapechange.MOD		DESCRIPTOR:Transmutation Domain

